,mean,median,q1,q3,min,max,std
Multi-period,174012.6591569549,176059.4360615474,165783.77459278097,184028.59671429807,142346.35403014027,192846.72865090877,11472.638227904206
Start-period,158353.3747811587,160744.96868397715,152563.72141432256,165598.590411199,130993.63380602736,169516.06509117415,8984.316726223002
Long-chain,157195.34978844106,158197.29224066442,149136.98453919162,165417.06424248044,132666.8307535735,174901.31815673818,10340.304488767219
Decision-rule,150276.97191714132,155558.55945765582,136189.57518660335,168844.44726873958,87346.08411018012,185781.4014998708,23851.565063861588
Perfect Information,179268.57047348036,179468.655090068,172423.81547925438,187377.58228399535,152545.8412653685,200102.53983208747,9991.668708082725
