,mean,median,q1,q3,min,max,std
Multi-period,202334.81794388746,202666.18042772854,194437.9066874101,212644.9222135311,167610.3726430249,225962.0724938075,12928.592268073578
Start-period,202334.81794388746,202666.18042772854,194437.90668741008,212644.92221353113,167610.3726430249,225962.0724938075,12928.592268073578
Long-chain,202352.21027424306,202575.11647801293,194348.391063703,212452.53046926262,167610.37264302492,226329.55280276955,12939.13975769823
Decision-rule,187273.44568684584,190427.95975524688,174645.64598592318,201307.9114062723,130951.12202667672,225816.97779445414,19370.320635876808
Perfect Information,205679.54913903467,205235.92890394505,196548.85273121757,215871.8759748056,172265.5775074614,233376.6552379763,12582.238975692708
