,mean,median,q1,q3,min,max,std
Multi-period,210842.80266270327,215929.6603588171,207881.0936669538,215929.66035881717,183994.9933750307,216189.26014248404,7720.899945583164
Start-period,210483.6095052408,215650.59059137528,207602.02389951196,215650.5905913753,183456.32382392205,215650.5905913754,7773.082407081144
Long-chain,210483.6095052408,215650.59059137525,207602.02389951196,215650.59059137528,183456.3238239219,215650.5905913754,7773.082407081146
Decision-rule,205409.0575757881,203553.4572076486,200324.67527448802,210736.69128728908,187456.32382392194,220774.6116199348,6927.521462298059
Perfect Information,214730.5922482582,218720.35803323574,210671.79134137242,218720.35879941657,187456.32382392194,232763.18390507103,8583.631759312042
