,mean,median,q1,q3,min,max,std
Multi-period,203580.8382441476,203049.42867297426,195714.21079861093,214057.8800676776,171105.3275397676,226516.41511893028,12570.738107298843
Start-period,203580.8382441476,203049.42867297432,195714.21079861087,214057.88006767756,171105.32753976755,226516.41511893028,12570.73810729884
Long-chain,203580.8382441476,203049.42867297423,195714.2107986109,214057.88006767756,171105.3275397676,226516.4151189304,12570.738107298828
Decision-rule,188775.4361789006,191526.74047324242,176937.1903474484,201307.91140627232,130974.67639998076,226439.91459663532,19135.448163783574
Perfect Information,208072.58486150505,208878.83651754385,200526.5930232088,217104.3538205872,176248.41730953468,235771.4451348244,11932.362066531829
