,mean,median,q1,q3,min,max,std
Multi-period,203580.8382441476,203049.42867297423,195714.21079861093,214057.88006767756,171105.3275397676,226516.4151189304,12570.738107298826
Start-period,203580.8382441476,203049.42867297432,195714.21079861087,214057.88006767756,171105.32753976755,226516.41511893028,12570.73810729884
Long-chain,203580.8382441476,203049.42867297423,195714.2107986109,214057.88006767756,171105.3275397676,226516.4151189304,12570.738107298828
Decision-rule,188816.07116697286,191526.74047324242,176937.1903474484,201307.91140627232,130974.67639998076,226439.91459663532,19134.536175404282
Perfect Information,208072.4623936286,208878.83651754382,200526.5930232088,217104.35382058716,176248.41730953465,235771.44513482437,11932.569862034732
