Year,GrossProfit,FixedOpex,MachineCapex,ArcCapex,NetProfit
2025,28756881.991035543,-4000000.0,0.0,-4000000.0,20756881.991035543
2026,28920290.762037475,-4000000.0,0.0,-1000000.0,23920290.762037475
2027,27452722.283319596,-4000000.0,0.0,0.0,23452722.283319596
2028,30487762.177576076,-4000000.0,0.0,-1000000.0,25487762.177576076
2029,31340473.066046268,-4000000.0,0.0,0.0,27340473.066046268
2030,37093795.23516967,-6000000.0,0.0,-2000000.0,29093795.23516967
2031,41930153.65355435,-8000000.0,0.0,0.0,33930153.65355435
2032,46715495.66037749,-10000000.0,0.0,0.0,36715495.66037749
