i,s,t,capacity
Machine 4,21,2032,3936.0
Machine 5,21,2025,5131.0
Machine 5,21,2026,4604.0
Machine 5,21,2027,4032.0
Machine 5,21,2028,4032.0
Machine 5,21,2029,4032.0
Machine 5,21,2030,4032.0
Machine 5,21,2031,4032.0
Machine 5,21,2032,4032.0
Machine 1,22,2025,8520.0
Machine 1,22,2026,8520.0
Machine 1,22,2027,8520.0
Machine 1,22,2028,8520.0
Machine 1,22,2029,8520.0
Machine 1,22,2030,8520.0
Machine 1,22,2031,8520.0
Machine 1,22,2032,8520.0
Machine 2,22,2025,8520.0
Machine 2,22,2026,8520.0
Machine 2,22,2027,8483.0
Machine 2,22,2028,8507.0
Machine 2,22,2029,8483.0
Machine 2,22,2030,8483.0
Machine 2,22,2031,8483.0
Machine 2,22,2032,8507.0
Machine 3,22,2025,8520.0
Machine 3,22,2026,8520.0
Machine 3,22,2027,8483.0
Machine 3,22,2028,8507.0
Machine 3,22,2029,6509.0
Machine 3,22,2030,6509.0
Machine 3,22,2031,6509.0
Machine 3,22,2032,6509.0
Machine 4,22,2025,4852.0
Machine 4,22,2026,3952.0
Machine 4,22,2027,3912.0
Machine 4,22,2028,3936.0
Machine 4,22,2029,3936.0
Machine 4,22,2030,3936.0
Machine 4,22,2031,3936.0
Machine 4,22,2032,3936.0
Machine 5,22,2025,5131.0
Machine 5,22,2026,4604.0
Machine 5,22,2027,4032.0
Machine 5,22,2028,4032.0
Machine 5,22,2029,4032.0
Machine 5,22,2030,4032.0
Machine 5,22,2031,4032.0
Machine 5,22,2032,4032.0
Machine 1,23,2025,8520.0
Machine 1,23,2026,8520.0
Machine 1,23,2027,8520.0
Machine 1,23,2028,8520.0
Machine 1,23,2029,8520.0
Machine 1,23,2030,8520.0
Machine 1,23,2031,8520.0
Machine 1,23,2032,8520.0
Machine 2,23,2025,8520.0
Machine 2,23,2026,8520.0
Machine 2,23,2027,8483.0
Machine 2,23,2028,8507.0
Machine 2,23,2029,8483.0
Machine 2,23,2030,8483.0
Machine 2,23,2031,8483.0
Machine 2,23,2032,8507.0
Machine 3,23,2025,8520.0
Machine 3,23,2026,8520.0
Machine 3,23,2027,8483.0
Machine 3,23,2028,8507.0
Machine 3,23,2029,6509.0
Machine 3,23,2030,6509.0
Machine 3,23,2031,6509.0
Machine 3,23,2032,6509.0
Machine 4,23,2025,4852.0
Machine 4,23,2026,3952.0
Machine 4,23,2027,3912.0
Machine 4,23,2028,3936.0
Machine 4,23,2029,3936.0
Machine 4,23,2030,3936.0
Machine 4,23,2031,3936.0
Machine 4,23,2032,3936.0
Machine 5,23,2025,5131.0
Machine 5,23,2026,4604.0
Machine 5,23,2027,4032.0
Machine 5,23,2028,4032.0
Machine 5,23,2029,4032.0
Machine 5,23,2030,4032.0
Machine 5,23,2031,4032.0
Machine 5,23,2032,4032.0
Machine 1,24,2025,8520.0
Machine 1,24,2026,8520.0
Machine 1,24,2027,8520.0
Machine 1,24,2028,8520.0
Machine 1,24,2029,8520.0
Machine 1,24,2030,8520.0
Machine 1,24,2031,8520.0
Machine 1,24,2032,8520.0
Machine 2,24,2025,8520.0
Machine 2,24,2026,8520.0
Machine 2,24,2027,8483.0
Machine 2,24,2028,8507.0
Machine 2,24,2029,8483.0
Machine 2,24,2030,8483.0
Machine 2,24,2031,8483.0
Machine 2,24,2032,8507.0
Machine 3,24,2025,8520.0
Machine 3,24,2026,8520.0
Machine 3,24,2027,8483.0
Machine 3,24,2028,8507.0
Machine 3,24,2029,6509.0
Machine 3,24,2030,6509.0
Machine 3,24,2031,6509.0
Machine 3,24,2032,6509.0
Machine 4,24,2025,4852.0
Machine 4,24,2026,3952.0
Machine 4,24,2027,3912.0
Machine 4,24,2028,3936.0
Machine 4,24,2029,3936.0
Machine 4,24,2030,3936.0
Machine 4,24,2031,3936.0
Machine 4,24,2032,3936.0
Machine 5,24,2025,5131.0
Machine 5,24,2026,4604.0
Machine 5,24,2027,4032.0
Machine 5,24,2028,4032.0
Machine 5,24,2029,4032.0
Machine 5,24,2030,4032.0
Machine 5,24,2031,4032.0
Machine 5,24,2032,4032.0
Machine 1,25,2025,8520.0
Machine 1,25,2026,8520.0
Machine 1,25,2027,8520.0
Machine 1,25,2028,8520.0
Machine 1,25,2029,8520.0
Machine 1,25,2030,8520.0
Machine 1,25,2031,8520.0
Machine 1,25,2032,8520.0
Machine 2,25,2025,8520.0
Machine 2,25,2026,8520.0
Machine 2,25,2027,8483.0
Machine 2,25,2028,8507.0
Machine 2,25,2029,8483.0
Machine 2,25,2030,8483.0
Machine 2,25,2031,8483.0
Machine 2,25,2032,8507.0
Machine 3,25,2025,8520.0
Machine 3,25,2026,8520.0
Machine 3,25,2027,8483.0
Machine 3,25,2028,8507.0
Machine 3,25,2029,6509.0
Machine 3,25,2030,6509.0
Machine 3,25,2031,6509.0
Machine 3,25,2032,6509.0
Machine 4,25,2025,4852.0
Machine 4,25,2026,3952.0
Machine 4,25,2027,3912.0
Machine 4,25,2028,3936.0
Machine 4,25,2029,3936.0
Machine 4,25,2030,3936.0
Machine 4,25,2031,3936.0
Machine 4,25,2032,3936.0
Machine 5,25,2025,5131.0
Machine 5,25,2026,4604.0
Machine 5,25,2027,4032.0
Machine 5,25,2028,4032.0
Machine 5,25,2029,4032.0
Machine 5,25,2030,4032.0
Machine 5,25,2031,4032.0
Machine 5,25,2032,4032.0
Machine 1,26,2025,8520.0
Machine 1,26,2026,8520.0
Machine 1,26,2027,8520.0
Machine 1,26,2028,8520.0
Machine 1,26,2029,8520.0
Machine 1,26,2030,8520.0
Machine 1,26,2031,8520.0
Machine 1,26,2032,8520.0
Machine 2,26,2025,8520.0
Machine 2,26,2026,8520.0
Machine 2,26,2027,8483.0
Machine 2,26,2028,8507.0
Machine 2,26,2029,8483.0
Machine 2,26,2030,8483.0
Machine 2,26,2031,8483.0
Machine 2,26,2032,8507.0
Machine 3,26,2025,8520.0
Machine 3,26,2026,8520.0
Machine 3,26,2027,8483.0
Machine 3,26,2028,8507.0
Machine 3,26,2029,6509.0
Machine 3,26,2030,6509.0
Machine 3,26,2031,6509.0
Machine 3,26,2032,6509.0
Machine 4,26,2025,4852.0
Machine 4,26,2026,3952.0
Machine 4,26,2027,3912.0
Machine 4,26,2028,3936.0
Machine 4,26,2029,3936.0
Machine 4,26,2030,3936.0
Machine 4,26,2031,3936.0
Machine 4,26,2032,3936.0
Machine 5,26,2025,5131.0
Machine 5,26,2026,4604.0
Machine 5,26,2027,4032.0
Machine 5,26,2028,4032.0
Machine 5,26,2029,4032.0
Machine 5,26,2030,4032.0
Machine 5,26,2031,4032.0
Machine 5,26,2032,4032.0
Machine 1,27,2025,8520.0
Machine 1,27,2026,8520.0
Machine 1,27,2027,8520.0
Machine 1,27,2028,8520.0
Machine 1,27,2029,8520.0
Machine 1,27,2030,8520.0
Machine 1,27,2031,8520.0
Machine 1,27,2032,8520.0
Machine 2,27,2025,8520.0
Machine 2,27,2026,8520.0
Machine 2,27,2027,8483.0
Machine 2,27,2028,8507.0
Machine 2,27,2029,8483.0
Machine 2,27,2030,8483.0
Machine 2,27,2031,8483.0
Machine 2,27,2032,8507.0
Machine 3,27,2025,8520.0
Machine 3,27,2026,8520.0
Machine 3,27,2027,8483.0
Machine 3,27,2028,8507.0
Machine 3,27,2029,6509.0
Machine 3,27,2030,6509.0
Machine 3,27,2031,6509.0
Machine 3,27,2032,6509.0
Machine 4,27,2025,4852.0
Machine 4,27,2026,3952.0
Machine 4,27,2027,3912.0
Machine 4,27,2028,3936.0
Machine 4,27,2029,3936.0
Machine 4,27,2030,3936.0
Machine 4,27,2031,3936.0
Machine 4,27,2032,3936.0
Machine 5,27,2025,5131.0
Machine 5,27,2026,4604.0
Machine 5,27,2027,4032.0
Machine 5,27,2028,4032.0
Machine 5,27,2029,4032.0
Machine 5,27,2030,4032.0
Machine 5,27,2031,4032.0
Machine 5,27,2032,4032.0
Machine 1,28,2025,8520.0
Machine 1,28,2026,8520.0
Machine 1,28,2027,8520.0
Machine 1,28,2028,8520.0
Machine 1,28,2029,8520.0
Machine 1,28,2030,8520.0
Machine 1,28,2031,8520.0
Machine 1,28,2032,8520.0
Machine 2,28,2025,8520.0
Machine 2,28,2026,8520.0
Machine 2,28,2027,8483.0
Machine 2,28,2028,8507.0
Machine 2,28,2029,8483.0
Machine 2,28,2030,8483.0
Machine 2,28,2031,8483.0
Machine 2,28,2032,8507.0
Machine 3,28,2025,8520.0
Machine 3,28,2026,8520.0
Machine 3,28,2027,8483.0
Machine 3,28,2028,8507.0
Machine 3,28,2029,6509.0
Machine 3,28,2030,6509.0
Machine 3,28,2031,6509.0
Machine 3,28,2032,6509.0
Machine 4,28,2025,4852.0
Machine 4,28,2026,3952.0
Machine 4,28,2027,3912.0
Machine 4,28,2028,3936.0
Machine 4,28,2029,3936.0
Machine 4,28,2030,3936.0
Machine 4,28,2031,3936.0
Machine 4,28,2032,3936.0
Machine 5,28,2025,5131.0
Machine 5,28,2026,4604.0
Machine 5,28,2027,4032.0
Machine 5,28,2028,4032.0
Machine 5,28,2029,4032.0
Machine 5,28,2030,4032.0
Machine 5,28,2031,4032.0
Machine 5,28,2032,4032.0
Machine 1,29,2025,8520.0
Machine 1,29,2026,8520.0
Machine 1,29,2027,8520.0
Machine 1,29,2028,8520.0
Machine 1,29,2029,8520.0
Machine 1,29,2030,8520.0
Machine 1,29,2031,8520.0
Machine 1,29,2032,8520.0
Machine 2,29,2025,8520.0
Machine 2,29,2026,8520.0
Machine 2,29,2027,8483.0
Machine 2,29,2028,8507.0
Machine 2,29,2029,8483.0
Machine 2,29,2030,8483.0
Machine 2,29,2031,8483.0
Machine 2,29,2032,8507.0
Machine 3,29,2025,8520.0
Machine 3,29,2026,8520.0
Machine 3,29,2027,8483.0
Machine 3,29,2028,8507.0
Machine 3,29,2029,6509.0
Machine 3,29,2030,6509.0
Machine 3,29,2031,6509.0
Machine 3,29,2032,6509.0
Machine 4,29,2025,4852.0
Machine 4,29,2026,3952.0
Machine 4,29,2027,3912.0
Machine 4,29,2028,3936.0
Machine 4,29,2029,3936.0
Machine 4,29,2030,3936.0
Machine 4,29,2031,3936.0
Machine 4,29,2032,3936.0
Machine 5,29,2025,5131.0
Machine 5,29,2026,4604.0
Machine 5,29,2027,4032.0
Machine 5,29,2028,4032.0
Machine 5,29,2029,4032.0
Machine 5,29,2030,4032.0
Machine 5,29,2031,4032.0
Machine 5,29,2032,4032.0
Machine 1,30,2025,8520.0
Machine 1,30,2026,8520.0
Machine 1,30,2027,8520.0
Machine 1,30,2028,8520.0
Machine 1,30,2029,8520.0
Machine 1,30,2030,8520.0
Machine 1,30,2031,8520.0
Machine 1,30,2032,8520.0
Machine 2,30,2025,8520.0
Machine 2,30,2026,8520.0
Machine 2,30,2027,8483.0
Machine 2,30,2028,8507.0
Machine 2,30,2029,8483.0
Machine 2,30,2030,8483.0
Machine 2,30,2031,8483.0
Machine 2,30,2032,8507.0
Machine 3,30,2025,8520.0
Machine 3,30,2026,8520.0
Machine 3,30,2027,8483.0
Machine 3,30,2028,8507.0
Machine 3,30,2029,6509.0
Machine 3,30,2030,6509.0
Machine 3,30,2031,6509.0
Machine 3,30,2032,6509.0
Machine 4,30,2025,4852.0
Machine 4,30,2026,3952.0
Machine 4,30,2027,3912.0
Machine 4,30,2028,3936.0
Machine 4,30,2029,3936.0
Machine 4,30,2030,3936.0
Machine 4,30,2031,3936.0
Machine 4,30,2032,3936.0
Machine 5,30,2025,5131.0
Machine 5,30,2026,4604.0
Machine 5,30,2027,4032.0
Machine 5,30,2028,4032.0
Machine 5,30,2029,4032.0
Machine 5,30,2030,4032.0
Machine 5,30,2031,4032.0
Machine 5,30,2032,4032.0
Machine 1,31,2025,8520.0
Machine 1,31,2026,8520.0
Machine 1,31,2027,8520.0
Machine 1,31,2028,8520.0
Machine 1,31,2029,8520.0
Machine 1,31,2030,8520.0
Machine 1,31,2031,8520.0
Machine 1,31,2032,8520.0
Machine 2,31,2025,8520.0
Machine 2,31,2026,8520.0
Machine 2,31,2027,8483.0
Machine 2,31,2028,8507.0
Machine 2,31,2029,8483.0
Machine 2,31,2030,8483.0
Machine 2,31,2031,8483.0
Machine 2,31,2032,8507.0
Machine 3,31,2025,8520.0
Machine 3,31,2026,8520.0
Machine 3,31,2027,8483.0
Machine 3,31,2028,8507.0
Machine 3,31,2029,6509.0
Machine 3,31,2030,6509.0
Machine 3,31,2031,6509.0
Machine 3,31,2032,6509.0
Machine 4,31,2025,4852.0
Machine 4,31,2026,3952.0
Machine 4,31,2027,3912.0
Machine 4,31,2028,3936.0
Machine 4,31,2029,3936.0
Machine 4,31,2030,3936.0
Machine 4,31,2031,3936.0
Machine 4,31,2032,3936.0
Machine 5,31,2025,5131.0
Machine 5,31,2026,4604.0
Machine 5,31,2027,4032.0
Machine 5,31,2028,4032.0
Machine 5,31,2029,4032.0
Machine 5,31,2030,4032.0
Machine 5,31,2031,4032.0
Machine 5,31,2032,4032.0
Machine 1,32,2025,8520.0
Machine 1,32,2026,8520.0
Machine 1,32,2027,8520.0
Machine 1,32,2028,8520.0
Machine 1,32,2029,8520.0
Machine 1,32,2030,8520.0
Machine 1,32,2031,8520.0
Machine 1,32,2032,8520.0
Machine 2,32,2025,8520.0
Machine 2,32,2026,8520.0
Machine 2,32,2027,8483.0
Machine 2,32,2028,8507.0
Machine 2,32,2029,8483.0
Machine 2,32,2030,8483.0
Machine 2,32,2031,8483.0
Machine 2,32,2032,8507.0
Machine 3,32,2025,8520.0
Machine 3,32,2026,8520.0
Machine 3,32,2027,8483.0
Machine 3,32,2028,8507.0
Machine 3,32,2029,6509.0
Machine 3,32,2030,6509.0
Machine 3,32,2031,6509.0
Machine 3,32,2032,6509.0
Machine 4,32,2025,4852.0
Machine 4,32,2026,3952.0
Machine 4,32,2027,3912.0
Machine 4,32,2028,3936.0
Machine 4,32,2029,3936.0
Machine 4,32,2030,3936.0
Machine 4,32,2031,3936.0
Machine 4,32,2032,3936.0
Machine 5,32,2025,5131.0
Machine 5,32,2026,4604.0
Machine 5,32,2027,4032.0
Machine 5,32,2028,4032.0
Machine 5,32,2029,4032.0
Machine 5,32,2030,4032.0
Machine 5,32,2031,4032.0
Machine 5,32,2032,4032.0
Machine 1,33,2025,8520.0
Machine 1,33,2026,8520.0
Machine 1,33,2027,8520.0
Machine 1,33,2028,8520.0
Machine 1,33,2029,8520.0
Machine 1,33,2030,8520.0
Machine 1,33,2031,8520.0
Machine 1,33,2032,8520.0
Machine 2,33,2025,8520.0
Machine 2,33,2026,8520.0
Machine 2,33,2027,8483.0
Machine 2,33,2028,8507.0
Machine 2,33,2029,8483.0
Machine 2,33,2030,8483.0
Machine 2,33,2031,8483.0
Machine 2,33,2032,8507.0
Machine 3,33,2025,8520.0
Machine 3,33,2026,8520.0
Machine 3,33,2027,8483.0
Machine 3,33,2028,8507.0
Machine 3,33,2029,6509.0
Machine 3,33,2030,6509.0
Machine 3,33,2031,6509.0
Machine 3,33,2032,6509.0
Machine 4,33,2025,4852.0
Machine 4,33,2026,3952.0
Machine 4,33,2027,3912.0
Machine 4,33,2028,3936.0
Machine 4,33,2029,3936.0
Machine 4,33,2030,3936.0
Machine 4,33,2031,3936.0
Machine 4,33,2032,3936.0
Machine 5,33,2025,5131.0
Machine 5,33,2026,4604.0
Machine 5,33,2027,4032.0
Machine 5,33,2028,4032.0
Machine 5,33,2029,4032.0
Machine 5,33,2030,4032.0
Machine 5,33,2031,4032.0
Machine 5,33,2032,4032.0
Machine 1,34,2025,8520.0
Machine 1,34,2026,8520.0
Machine 1,34,2027,8520.0
Machine 1,34,2028,8520.0
Machine 1,34,2029,8520.0
Machine 1,34,2030,8520.0
Machine 1,34,2031,8520.0
Machine 1,34,2032,8520.0
Machine 2,34,2025,8520.0
Machine 2,34,2026,8520.0
Machine 2,34,2027,8483.0
Machine 2,34,2028,8507.0
Machine 2,34,2029,8483.0
Machine 2,34,2030,8483.0
Machine 2,34,2031,8483.0
Machine 2,34,2032,8507.0
Machine 3,34,2025,8520.0
Machine 3,34,2026,8520.0
Machine 3,34,2027,8483.0
Machine 3,34,2028,8507.0
Machine 3,34,2029,6509.0
Machine 3,34,2030,6509.0
Machine 3,34,2031,6509.0
Machine 3,34,2032,6509.0
Machine 4,34,2025,4852.0
Machine 4,34,2026,3952.0
Machine 4,34,2027,3912.0
Machine 4,34,2028,3936.0
Machine 4,34,2029,3936.0
Machine 4,34,2030,3936.0
Machine 4,34,2031,3936.0
Machine 4,34,2032,3936.0
Machine 5,34,2025,5131.0
Machine 5,34,2026,4604.0
Machine 5,34,2027,4032.0
Machine 5,34,2028,4032.0
Machine 5,34,2029,4032.0
Machine 5,34,2030,4032.0
Machine 5,34,2031,4032.0
Machine 5,34,2032,4032.0
Machine 1,35,2025,8520.0
Machine 1,35,2026,8520.0
Machine 1,35,2027,8520.0
Machine 1,35,2028,8520.0
Machine 1,35,2029,8520.0
Machine 1,35,2030,8520.0
Machine 1,35,2031,8520.0
Machine 1,35,2032,8520.0
Machine 2,35,2025,8520.0
Machine 2,35,2026,8520.0
Machine 2,35,2027,8483.0
Machine 2,35,2028,8507.0
Machine 2,35,2029,8483.0
Machine 2,35,2030,8483.0
Machine 2,35,2031,8483.0
Machine 2,35,2032,8507.0
Machine 3,35,2025,8520.0
Machine 3,35,2026,8520.0
Machine 3,35,2027,8483.0
Machine 3,35,2028,8507.0
Machine 3,35,2029,6509.0
Machine 3,35,2030,6509.0
Machine 3,35,2031,6509.0
Machine 3,35,2032,6509.0
Machine 4,35,2025,4852.0
Machine 4,35,2026,3952.0
Machine 4,35,2027,3912.0
Machine 4,35,2028,3936.0
Machine 4,35,2029,3936.0
Machine 4,35,2030,3936.0
Machine 4,35,2031,3936.0
Machine 4,35,2032,3936.0
Machine 5,35,2025,5131.0
Machine 5,35,2026,4604.0
Machine 5,35,2027,4032.0
Machine 5,35,2028,4032.0
Machine 5,35,2029,4032.0
Machine 5,35,2030,4032.0
Machine 5,35,2031,4032.0
Machine 5,35,2032,4032.0
Machine 1,36,2025,8520.0
Machine 1,36,2026,8520.0
Machine 1,36,2027,8520.0
Machine 1,36,2028,8520.0
Machine 1,36,2029,8520.0
Machine 1,36,2030,8520.0
Machine 1,36,2031,8520.0
Machine 1,36,2032,8520.0
Machine 2,36,2025,8520.0
Machine 2,36,2026,8520.0
Machine 2,36,2027,8483.0
Machine 2,36,2028,8507.0
Machine 2,36,2029,8483.0
Machine 2,36,2030,8483.0
Machine 2,36,2031,8483.0
Machine 2,36,2032,8507.0
Machine 3,36,2025,8520.0
Machine 3,36,2026,8520.0
Machine 3,36,2027,8483.0
Machine 3,36,2028,8507.0
Machine 3,36,2029,6509.0
Machine 3,36,2030,6509.0
Machine 3,36,2031,6509.0
Machine 3,36,2032,6509.0
Machine 4,36,2025,4852.0
Machine 4,36,2026,3952.0
Machine 4,36,2027,3912.0
Machine 4,36,2028,3936.0
Machine 4,36,2029,3936.0
Machine 4,36,2030,3936.0
Machine 4,36,2031,3936.0
Machine 4,36,2032,3936.0
Machine 5,36,2025,5131.0
Machine 5,36,2026,4604.0
Machine 5,36,2027,4032.0
Machine 5,36,2028,4032.0
Machine 5,36,2029,4032.0
Machine 5,36,2030,4032.0
Machine 5,36,2031,4032.0
Machine 5,36,2032,4032.0
Machine 1,37,2025,8520.0
Machine 1,37,2026,8520.0
Machine 1,37,2027,8520.0
Machine 1,37,2028,8520.0
Machine 1,37,2029,8520.0
Machine 1,37,2030,8520.0
Machine 1,37,2031,8520.0
Machine 1,37,2032,8520.0
Machine 2,37,2025,8520.0
Machine 2,37,2026,8520.0
Machine 2,37,2027,8483.0
Machine 2,37,2028,8507.0
Machine 2,37,2029,8483.0
Machine 2,37,2030,8483.0
Machine 2,37,2031,8483.0
Machine 2,37,2032,8507.0
Machine 3,37,2025,8520.0
Machine 3,37,2026,8520.0
Machine 3,37,2027,8483.0
Machine 3,37,2028,8507.0
Machine 3,37,2029,6509.0
Machine 3,37,2030,6509.0
Machine 3,37,2031,6509.0
Machine 3,37,2032,6509.0
Machine 4,37,2025,4852.0
Machine 4,37,2026,3952.0
Machine 4,37,2027,3912.0
Machine 4,37,2028,3936.0
Machine 4,37,2029,3936.0
Machine 4,37,2030,3936.0
Machine 4,37,2031,3936.0
Machine 4,37,2032,3936.0
Machine 5,37,2025,5131.0
Machine 5,37,2026,4604.0
Machine 5,37,2027,4032.0
Machine 5,37,2028,4032.0
Machine 5,37,2029,4032.0
Machine 5,37,2030,4032.0
Machine 5,37,2031,4032.0
Machine 5,37,2032,4032.0
Machine 1,38,2025,8520.0
Machine 1,38,2026,8520.0
Machine 1,38,2027,8520.0
Machine 1,38,2028,8520.0
Machine 1,38,2029,8520.0
Machine 1,38,2030,8520.0
Machine 1,38,2031,8520.0
Machine 1,38,2032,8520.0
Machine 2,38,2025,8520.0
Machine 2,38,2026,8520.0
Machine 2,38,2027,8483.0
Machine 2,38,2028,8507.0
Machine 2,38,2029,8483.0
Machine 2,38,2030,8483.0
Machine 2,38,2031,8483.0
Machine 2,38,2032,8507.0
Machine 3,38,2025,8520.0
Machine 3,38,2026,8520.0
Machine 3,38,2027,8483.0
Machine 3,38,2028,8507.0
Machine 3,38,2029,6509.0
Machine 3,38,2030,6509.0
Machine 3,38,2031,6509.0
Machine 3,38,2032,6509.0
Machine 4,38,2025,4852.0
Machine 4,38,2026,3952.0
Machine 4,38,2027,3912.0
Machine 4,38,2028,3936.0
Machine 4,38,2029,3936.0
Machine 4,38,2030,3936.0
Machine 4,38,2031,3936.0
Machine 4,38,2032,3936.0
Machine 5,38,2025,5131.0
Machine 5,38,2026,4604.0
Machine 5,38,2027,4032.0
Machine 5,38,2028,4032.0
Machine 5,38,2029,4032.0
Machine 5,38,2030,4032.0
Machine 5,38,2031,4032.0
Machine 5,38,2032,4032.0
Machine 1,39,2025,8520.0
Machine 1,39,2026,8520.0
Machine 1,39,2027,8520.0
Machine 1,39,2028,8520.0
Machine 1,39,2029,8520.0
Machine 1,39,2030,8520.0
Machine 1,39,2031,8520.0
Machine 1,39,2032,8520.0
Machine 2,39,2025,8520.0
Machine 2,39,2026,8520.0
Machine 2,39,2027,8483.0
Machine 2,39,2028,8507.0
Machine 2,39,2029,8483.0
Machine 2,39,2030,8483.0
Machine 2,39,2031,8483.0
Machine 2,39,2032,8507.0
Machine 3,39,2025,8520.0
Machine 3,39,2026,8520.0
Machine 3,39,2027,8483.0
Machine 3,39,2028,8507.0
Machine 3,39,2029,6509.0
Machine 3,39,2030,6509.0
Machine 3,39,2031,6509.0
Machine 3,39,2032,6509.0
Machine 4,39,2025,4852.0
Machine 4,39,2026,3952.0
Machine 4,39,2027,3912.0
Machine 4,39,2028,3936.0
Machine 4,39,2029,3936.0
Machine 4,39,2030,3936.0
Machine 4,39,2031,3936.0
Machine 4,39,2032,3936.0
Machine 5,39,2025,5131.0
Machine 5,39,2026,4604.0
Machine 5,39,2027,4032.0
Machine 5,39,2028,4032.0
Machine 5,39,2029,4032.0
Machine 5,39,2030,4032.0
Machine 5,39,2031,4032.0
Machine 5,39,2032,4032.0
Machine 1,40,2025,8520.0
Machine 1,40,2026,8520.0
Machine 1,40,2027,8520.0
Machine 1,40,2028,8520.0
Machine 1,40,2029,8520.0
Machine 1,40,2030,8520.0
Machine 1,40,2031,8520.0
Machine 1,40,2032,8520.0
Machine 2,40,2025,8520.0
Machine 2,40,2026,8520.0
Machine 2,40,2027,8483.0
Machine 2,40,2028,8507.0
Machine 2,40,2029,8483.0
Machine 2,40,2030,8483.0
Machine 2,40,2031,8483.0
Machine 2,40,2032,8507.0
Machine 3,40,2025,8520.0
Machine 3,40,2026,8520.0
Machine 3,40,2027,8483.0
Machine 3,40,2028,8507.0
Machine 3,40,2029,6509.0
Machine 3,40,2030,6509.0
Machine 3,40,2031,6509.0
Machine 3,40,2032,6509.0
Machine 4,40,2025,4852.0
Machine 4,40,2026,3952.0
Machine 4,40,2027,3912.0
Machine 4,40,2028,3936.0
Machine 4,40,2029,3936.0
Machine 4,40,2030,3936.0
Machine 4,40,2031,3936.0
Machine 4,40,2032,3936.0
Machine 5,40,2025,5131.0
Machine 5,40,2026,4604.0
Machine 5,40,2027,4032.0
Machine 5,40,2028,4032.0
Machine 5,40,2029,4032.0
Machine 5,40,2030,4032.0
Machine 5,40,2031,4032.0
Machine 5,40,2032,4032.0
Machine 1,41,2025,8520.0
Machine 1,41,2026,8520.0
Machine 1,41,2027,8520.0
Machine 1,41,2028,8520.0
Machine 1,41,2029,8520.0
Machine 1,41,2030,8520.0
Machine 1,41,2031,8520.0
Machine 1,41,2032,8520.0
Machine 2,41,2025,8520.0
Machine 2,41,2026,8520.0
Machine 2,41,2027,8483.0
Machine 2,41,2028,8507.0
Machine 2,41,2029,8483.0
Machine 2,41,2030,8483.0
Machine 2,41,2031,8483.0
Machine 2,41,2032,8507.0
Machine 3,41,2025,8520.0
Machine 3,41,2026,8520.0
Machine 3,41,2027,8483.0
Machine 3,41,2028,8507.0
Machine 3,41,2029,6509.0
Machine 3,41,2030,6509.0
Machine 3,41,2031,6509.0
Machine 3,41,2032,6509.0
Machine 4,41,2025,4852.0
Machine 4,41,2026,3952.0
Machine 4,41,2027,3912.0
Machine 4,41,2028,3936.0
Machine 4,41,2029,3936.0
Machine 4,41,2030,3936.0
Machine 4,41,2031,3936.0
Machine 4,41,2032,3936.0
Machine 5,41,2025,5131.0
Machine 5,41,2026,4604.0
Machine 5,41,2027,4032.0
Machine 5,41,2028,4032.0
Machine 5,41,2029,4032.0
Machine 5,41,2030,4032.0
Machine 5,41,2031,4032.0
Machine 5,41,2032,4032.0
Machine 1,42,2025,8520.0
Machine 1,42,2026,8520.0
Machine 1,42,2027,8520.0
Machine 1,42,2028,8520.0
Machine 1,42,2029,8520.0
Machine 1,42,2030,8520.0
Machine 1,42,2031,8520.0
Machine 1,42,2032,8520.0
Machine 2,42,2025,8520.0
Machine 2,42,2026,8520.0
Machine 2,42,2027,8483.0
Machine 2,42,2028,8507.0
Machine 2,42,2029,8483.0
Machine 2,42,2030,8483.0
Machine 2,42,2031,8483.0
Machine 2,42,2032,8507.0
Machine 3,42,2025,8520.0
Machine 3,42,2026,8520.0
Machine 3,42,2027,8483.0
Machine 3,42,2028,8507.0
Machine 3,42,2029,6509.0
Machine 3,42,2030,6509.0
Machine 3,42,2031,6509.0
Machine 3,42,2032,6509.0
Machine 4,42,2025,4852.0
Machine 4,42,2026,3952.0
Machine 4,42,2027,3912.0
Machine 4,42,2028,3936.0
Machine 4,42,2029,3936.0
Machine 4,42,2030,3936.0
Machine 4,42,2031,3936.0
Machine 4,42,2032,3936.0
Machine 5,42,2025,5131.0
Machine 5,42,2026,4604.0
Machine 5,42,2027,4032.0
Machine 5,42,2028,4032.0
Machine 5,42,2029,4032.0
Machine 5,42,2030,4032.0
Machine 5,42,2031,4032.0
Machine 5,42,2032,4032.0
Machine 1,43,2025,8520.0
Machine 1,43,2026,8520.0
Machine 1,43,2027,8520.0
Machine 1,43,2028,8520.0
Machine 1,43,2029,8520.0
Machine 1,43,2030,8520.0
Machine 1,43,2031,8520.0
Machine 1,43,2032,8520.0
Machine 2,43,2025,8520.0
Machine 2,43,2026,8520.0
Machine 2,43,2027,8483.0
Machine 2,43,2028,8507.0
Machine 2,43,2029,8483.0
Machine 2,43,2030,8483.0
Machine 2,43,2031,8483.0
Machine 2,43,2032,8507.0
Machine 3,43,2025,8520.0
Machine 3,43,2026,8520.0
Machine 3,43,2027,8483.0
Machine 3,43,2028,8507.0
Machine 3,43,2029,6509.0
Machine 3,43,2030,6509.0
Machine 3,43,2031,6509.0
Machine 3,43,2032,6509.0
Machine 4,43,2025,4852.0
