i,s,t,capacity
Machine 5,4,2032,4032.0
Machine 1,5,2025,8520.0
Machine 1,5,2026,8520.0
Machine 1,5,2027,8520.0
Machine 1,5,2028,8520.0
Machine 1,5,2029,8520.0
Machine 1,5,2030,8520.0
Machine 1,5,2031,8520.0
Machine 1,5,2032,8520.0
Machine 2,5,2025,8520.0
Machine 2,5,2026,8520.0
Machine 2,5,2027,8483.0
Machine 2,5,2028,8507.0
Machine 2,5,2029,8483.0
Machine 2,5,2030,8483.0
Machine 2,5,2031,8483.0
Machine 2,5,2032,8507.0
Machine 3,5,2025,8520.0
Machine 3,5,2026,8520.0
Machine 3,5,2027,8483.0
Machine 3,5,2028,8507.0
Machine 3,5,2029,6509.0
Machine 3,5,2030,6509.0
Machine 3,5,2031,6509.0
Machine 3,5,2032,6509.0
Machine 4,5,2025,4852.0
Machine 4,5,2026,3952.0
Machine 4,5,2027,3912.0
Machine 4,5,2028,3936.0
Machine 4,5,2029,3936.0
Machine 4,5,2030,3936.0
Machine 4,5,2031,3936.0
Machine 4,5,2032,3936.0
Machine 5,5,2025,5131.0
Machine 5,5,2026,4604.0
Machine 5,5,2027,4032.0
Machine 5,5,2028,4032.0
Machine 5,5,2029,4032.0
Machine 5,5,2030,4032.0
Machine 5,5,2031,4032.0
Machine 5,5,2032,4032.0
Machine 1,6,2025,8520.0
Machine 1,6,2026,8520.0
Machine 1,6,2027,8520.0
Machine 1,6,2028,8520.0
Machine 1,6,2029,8520.0
Machine 1,6,2030,8520.0
Machine 1,6,2031,8520.0
Machine 1,6,2032,8520.0
Machine 2,6,2025,8520.0
Machine 2,6,2026,8520.0
Machine 2,6,2027,8483.0
Machine 2,6,2028,8507.0
Machine 2,6,2029,8483.0
Machine 2,6,2030,8483.0
Machine 2,6,2031,8483.0
Machine 2,6,2032,8507.0
Machine 3,6,2025,8520.0
Machine 3,6,2026,8520.0
Machine 3,6,2027,8483.0
Machine 3,6,2028,8507.0
Machine 3,6,2029,6509.0
Machine 3,6,2030,6509.0
Machine 3,6,2031,6509.0
Machine 3,6,2032,6509.0
Machine 4,6,2025,4852.0
Machine 4,6,2026,3952.0
Machine 4,6,2027,3912.0
Machine 4,6,2028,3936.0
Machine 4,6,2029,3936.0
Machine 4,6,2030,3936.0
Machine 4,6,2031,3936.0
Machine 4,6,2032,3936.0
Machine 5,6,2025,5131.0
Machine 5,6,2026,4604.0
Machine 5,6,2027,4032.0
Machine 5,6,2028,4032.0
Machine 5,6,2029,4032.0
Machine 5,6,2030,4032.0
Machine 5,6,2031,4032.0
Machine 5,6,2032,4032.0
Machine 1,7,2025,8520.0
Machine 1,7,2026,8520.0
Machine 1,7,2027,8520.0
Machine 1,7,2028,8520.0
Machine 1,7,2029,8520.0
Machine 1,7,2030,8520.0
Machine 1,7,2031,8520.0
Machine 1,7,2032,8520.0
Machine 2,7,2025,8520.0
Machine 2,7,2026,8520.0
Machine 2,7,2027,8483.0
Machine 2,7,2028,8507.0
Machine 2,7,2029,8483.0
Machine 2,7,2030,8483.0
Machine 2,7,2031,8483.0
Machine 2,7,2032,8507.0
Machine 3,7,2025,8520.0
Machine 3,7,2026,8520.0
Machine 3,7,2027,8483.0
Machine 3,7,2028,8507.0
Machine 3,7,2029,6509.0
Machine 3,7,2030,6509.0
Machine 3,7,2031,6509.0
Machine 3,7,2032,6509.0
Machine 4,7,2025,4852.0
Machine 4,7,2026,3952.0
Machine 4,7,2027,3912.0
Machine 4,7,2028,3936.0
Machine 4,7,2029,3936.0
Machine 4,7,2030,3936.0
Machine 4,7,2031,3936.0
Machine 4,7,2032,3936.0
