j,s,t,demand
Growth 2,1,2031,690.0
Growth 2,1,2032,1265.0
Growth 3,1,2025,0.0
Growth 3,1,2026,0.0
Growth 3,1,2027,46.48360656
Growth 3,1,2028,91.44756544
Growth 3,1,2029,367.0185388
Growth 3,1,2030,758.976408
Growth 3,1,2031,1038.178471
Growth 3,1,2032,1679.068804
Growth 4,1,2025,0.0
Growth 4,1,2026,0.0
Growth 4,1,2027,0.0
Growth 4,1,2028,0.036969178
Growth 4,1,2029,2.444174196
Growth 4,1,2030,39.279279
Growth 4,1,2031,121.9648213
Growth 4,1,2032,168.129366
Growth 5,1,2025,0.0
Growth 5,1,2026,0.0
Growth 5,1,2027,14.78274778
Growth 5,1,2028,93.0650761
Growth 5,1,2029,225.5690067
Growth 5,1,2030,331.837604
Growth 5,1,2031,395.9472962
Growth 5,1,2032,449.7006275
Growth 6,1,2025,0.0
Growth 6,1,2026,0.0
Growth 6,1,2027,0.0
Growth 6,1,2028,0.0
Growth 6,1,2029,0.0
Growth 6,1,2030,0.0
Growth 6,1,2031,0.0
Growth 6,1,2032,0.0
Growth 7,1,2025,215.2184
Growth 7,1,2026,333.6516932
Growth 7,1,2027,489.4022653
Growth 7,1,2028,835.2893713
Growth 7,1,2029,1163.923767
Growth 7,1,2030,1394.012203
Growth 7,1,2031,1223.348171
Growth 7,1,2032,1319.852451
Growth 8,1,2025,0.0
Growth 8,1,2026,0.0
Growth 8,1,2027,0.0
Growth 8,1,2028,0.0
Growth 8,1,2029,0.0
Growth 8,1,2030,0.0
Growth 8,1,2031,0.0
Growth 8,1,2032,0.0
Growth 9,1,2025,0.0
Growth 9,1,2026,0.0
Growth 9,1,2027,0.0
Growth 9,1,2028,0.0
Growth 9,1,2029,0.0
Growth 9,1,2030,0.0
Growth 9,1,2031,0.0
Growth 9,1,2032,0.0
Mature 1,1,2025,38.2
Mature 1,1,2026,38.2
Mature 1,1,2027,38.2
Mature 1,1,2028,61.33333333
Mature 1,1,2029,62.19999999
Mature 1,1,2030,61.33333333
Mature 1,1,2031,91.79059773
Mature 1,1,2032,108.2223361
Mature 2,1,2025,2650.016952
Mature 2,1,2026,3353.577983
Mature 2,1,2027,3031.589928
Mature 2,1,2028,3521.875
Mature 2,1,2029,3445.732255
Mature 2,1,2030,3823.4375
Mature 2,1,2031,3941.936731
Mature 2,1,2032,4681.54962
Mature 3,1,2025,1567.329269
Mature 3,1,2026,1719.115854
Mature 3,1,2027,1800.516064
Mature 3,1,2028,2114.430603
Mature 3,1,2029,1921.259676
Mature 3,1,2030,2129.139135
Mature 3,1,2031,2384.464011
Mature 3,1,2032,2399.333908
Mature 4,1,2025,870.5
Mature 4,1,2026,1016.0
Mature 4,1,2027,952.5
Mature 4,1,2028,876.0
Mature 4,1,2029,612.0
Mature 4,1,2030,464.9813969
Mature 4,1,2031,551.5
Mature 4,1,2032,589.550909
Decline 1,2,2025,4072.129212
Decline 1,2,2026,4050.943895
Decline 1,2,2027,3670.555031
Decline 1,2,2028,3736.943895
Decline 1,2,2029,2882.610705
Decline 1,2,2030,1544.11092
Decline 1,2,2031,1544.11092
Decline 1,2,2032,1256.713338
Decline 2,2,2025,1382.830353
Decline 2,2,2026,1089.841929
Decline 2,2,2027,1065.886626
Decline 2,2,2028,1179.327024
Decline 2,2,2029,1189.841929
Decline 2,2,2030,991.393526
Decline 2,2,2031,944.9238804
Decline 2,2,2032,1194.99404
Decline 3,2,2025,1223.0
Decline 3,2,2026,1062.0
Decline 3,2,2027,670.0
Decline 3,2,2028,458.0181405
Decline 3,2,2029,268.0
Decline 3,2,2030,201.0
Decline 3,2,2031,134.0
Decline 3,2,2032,67.0
Decline 4,2,2025,559.68
Decline 4,2,2026,549.68
Decline 4,2,2027,539.68
Decline 4,2,2028,529.68
Decline 4,2,2029,373.12
Decline 4,2,2030,186.5600001
Decline 4,2,2031,0.0
Decline 4,2,2032,0.0
Decline 5,2,2025,1809.32464
Decline 5,2,2026,1297.792
Decline 5,2,2027,1152.897648
Decline 5,2,2028,1152.897648
Decline 5,2,2029,964.182804
Decline 5,2,2030,843.004
Decline 5,2,2031,416.4759425
Decline 5,2,2032,189.5069516
Growth 1,2,2025,0.0
Growth 1,2,2026,0.0
Growth 1,2,2027,0.0
Growth 1,2,2028,73.49999999
Growth 1,2,2029,147.0
Growth 1,2,2030,241.6564707
Growth 1,2,2031,294.0
Growth 1,2,2032,298.2983199
Growth 2,2,2025,0.0
Growth 2,2,2026,0.0
Growth 2,2,2027,0.0
Growth 2,2,2028,0.0
Growth 2,2,2029,115.0
Growth 2,2,2030,230.0
Growth 2,2,2031,690.0
Growth 2,2,2032,1265.0
Growth 3,2,2025,0.0
Growth 3,2,2026,0.0
Growth 3,2,2027,71.55173043
Growth 3,2,2028,365.2770063
Growth 3,2,2029,1442.793851
