design,nominal_expected_npv,dro_worst_expected_npv,dro_loss_vs_nominal
Multi-period,210575.1385854057,207980.18964505623,2594.9489403494517
Start-period,210218.18888286373,207616.74994792257,2601.438934941165
Long-chain,210141.68093665404,207568.93248154153,2572.748455112509
Decision-rule,206181.2080313012,203186.64777129405,2994.560260007158
Perfect Information,214245.53046670507,211128.83060172142,3116.699864983646
Start-period RO,208785.02555735977,205968.0272152077,2816.9983421520737
Multi-period RO,208785.02555735977,205968.0272152077,2816.9983421520737
Start-period DRO,210218.18888286373,207616.7499479226,2601.438934941136
Multi-period DRO,210575.13858540572,207980.18964505623,2594.948940349481
