design,nominal_expected_npv,dro_worst_expected_npv,dro_loss_vs_nominal
Multi-period,171592.73343719888,167879.32034070624,3713.4130964926444
Start-period,158126.39810667775,155551.96183135756,2574.436275320186
Long-chain,155666.63859296998,152168.3144611192,3498.3241318507644
Decision-rule,152175.53352199405,145992.57261873464,6182.960903259402
Perfect Information,176691.83394737207,173200.82574379756,3491.0082035745145
Start-period RO,157900.1937348238,155335.92774799018,2564.265986833634
Multi-period RO,169587.52986209947,166181.85032604611,3405.679536053358
Start-period DRO,158112.25867596793,155563.93296888814,2548.3257070797845
Multi-period DRO,171584.0089375014,168216.5012365285,3367.5077009728993
