scenario_id,probability,state__product_e1,state__product_e2,state__product_e3,state__product_e4,Multistage stochastic,Two-stage multi-period (multistage recourse),Two-stage start-period (multistage recourse)
0,0.025,Flat,Decrease,Decrease,Increase,199148.36456666302,191858.88771055246,191858.88771055246
1,0.025,Increase,Decrease,Flat,Increase,213934.55635238736,213234.54389826127,213234.54389826127
2,0.025,Increase,Increase,Flat,Increase,230647.38362120208,225533.86049409752,225533.86049409752
3,0.025,Increase,Increase,Increase,Flat,226243.19191765887,212581.9100485474,212581.9100485474
4,0.025,Decrease,Flat,Increase,Decrease,206535.9675474046,204282.47850266373,204282.47850266373
5,0.025,Decrease,Decrease,Increase,Flat,201827.8038317763,200189.63748646472,200189.63748646472
6,0.025,Flat,Decrease,Flat,Flat,199404.37591833062,198123.6155323586,198123.6155323586
7,0.025,Decrease,Increase,Flat,Decrease,204598.27781756304,202890.93206549846,202890.93206549846
8,0.025,Flat,Flat,Decrease,Decrease,195547.55794681478,194444.4479058732,194444.4479058732
9,0.025,Decrease,Decrease,Flat,Increase,201347.8776372183,200233.8617120009,200233.8617120009
10,0.025,Decrease,Flat,Flat,Increase,203917.85990873433,203432.9442888106,203432.9442888106
11,0.025,Increase,Increase,Increase,Increase,231676.41187956638,218199.95212587633,218199.95212587633
12,0.025,Decrease,Flat,Decrease,Increase,204957.35130643766,204718.28394746236,204718.28394746236
13,0.025,Increase,Increase,Increase,Decrease,217114.11756527852,211949.43714960178,211949.43714960178
14,0.025,Increase,Flat,Flat,Decrease,207618.5129959788,206451.50023922278,206451.50023922278
15,0.025,Flat,Flat,Decrease,Flat,200574.74921907124,199817.9550133036,199817.9550133036
16,0.025,Increase,Decrease,Decrease,Increase,211452.41060713463,209796.20602345816,209796.20602345816
17,0.025,Flat,Increase,Decrease,Flat,194729.61645123636,195015.55368004867,195015.55368004867
18,0.025,Increase,Flat,Increase,Flat,202257.88995463893,197978.32668438135,197978.32668438135
19,0.025,Decrease,Increase,Increase,Increase,225959.90871986526,224289.9315142104,224289.9315142104
20,0.025,Flat,Decrease,Decrease,Flat,198577.92777202118,197308.02258611636,197308.02258611636
21,0.025,Flat,Increase,Flat,Flat,213135.4289527108,208123.34294771057,208123.34294771057
22,0.025,Decrease,Decrease,Decrease,Decrease,184662.80495516094,183456.32382392196,183456.32382392196
23,0.025,Decrease,Decrease,Decrease,Flat,193840.90454639227,191504.89051578537,191504.89051578537
24,0.025,Decrease,Increase,Increase,Flat,205808.6394105626,196856.5562430109,196856.5562430109
25,0.025,Decrease,Increase,Flat,Flat,206850.00238043122,205370.4749497139,205370.4749497139
26,0.025,Flat,Flat,Decrease,Increase,207707.40090919935,199866.3785284513,199866.3785284513
27,0.025,Increase,Decrease,Decrease,Flat,194842.8065085696,194784.14245296537,194784.14245296537
28,0.025,Flat,Flat,Flat,Increase,212039.1328707846,211388.60954461794,211388.60954461794
29,0.025,Decrease,Decrease,Increase,Increase,203722.44186728715,203662.85953115285,203662.85953115285
30,0.025,Flat,Increase,Increase,Flat,217483.2117960777,210793.90144237273,210793.90144237273
31,0.025,Flat,Flat,Flat,Decrease,206967.94143993006,206016.48349818392,206016.48349818392
32,0.025,Increase,Decrease,Flat,Decrease,200934.97195566664,200287.03549024768,200287.03549024768
33,0.025,Flat,Decrease,Increase,Increase,221570.34109629728,220659.00878528057,220659.00878528057
34,0.025,Flat,Increase,Increase,Decrease,221736.98155129462,220773.23148468227,220773.23148468227
35,0.025,Decrease,Flat,Decrease,Flat,192979.2224768693,192379.56006500783,192379.56006500783
36,0.025,Increase,Flat,Decrease,Decrease,205615.90605656538,204645.9576977744,204645.9576977744
37,0.025,Flat,Decrease,Increase,Decrease,192931.02019629668,194211.40304860205,194211.40304860205
38,0.025,Increase,Increase,Decrease,Decrease,198655.11990161397,195088.6470724608,195088.6470724608
39,0.025,Decrease,Flat,Increase,Flat,199820.26368432306,200206.41054061538,200206.41054061538
