Design,Case 1: Stability,Case 2: SVD,Case 3: SC,Case 4: SCVD
Multistage stochastic,214.6334010424486,206.4844164023254,189.08618760556897,175.7363852572319
Two-stage multi-period (multistage recourse),210.77597194420605,203.81018765678422,188.41304501672712,173.47164565349772
Two-stage start-period (multistage recourse),210.41902224166412,203.81018765678422,180.50265517660915,158.1431648422639
