design,nominal_expected_npv,dro_worst_expected_npv,dro_loss_vs_nominal
Multi-period,187949.01401017443,183672.79541267004,4276.218597504398
Start-period,180487.86546881025,179946.77764538777,541.0878234224801
Long-chain,165586.50076072474,161251.52292592736,4334.977834797377
Decision-rule,178580.35427273548,175226.6687070678,3353.6855656676926
Perfect Information,189768.0284425911,185988.0568827152,3779.9715598759067
Start-period RO,180478.34343235733,179932.49459070837,545.8488416489563
Multi-period RO,181063.46172382848,180517.61288217956,545.8488416489272
Start-period DRO,180487.86546881025,179946.77764538777,541.0878234224801
Multi-period DRO,187949.01401017446,183672.79541267006,4276.218597504398
