scenario_id,probability,state__product_e1,state__product_e2,state__product_e3,state__product_e4,Multi-period,Start-period,Long-chain,Decision-rule,Perfect Information,Start-period RO,Multi-period RO,Start-period DRO,Multi-period DRO
0,0.025,Flat,Decrease,Decrease,Increase,207881.09366695382,207602.023899512,207602.02389951207,202688.1245954258,209922.990811596,203553.4572076486,203553.4572076486,207602.02389951202,207881.09366695388
1,0.025,Increase,Decrease,Flat,Increase,215929.6603588171,215650.59059137534,215650.59059137528,200065.07549082127,217971.5575034594,211602.02389951193,211602.02389951193,215650.59059137534,215929.66035881714
2,0.025,Increase,Increase,Flat,Increase,216189.26014248398,215650.59059137525,215650.59059137525,215037.27647865826,228066.21349985237,219650.59059137525,219650.59059137525,215650.59059137522,216189.26014248395
3,0.025,Increase,Increase,Increase,Flat,216189.26014248395,215650.59059137525,215650.59059137525,215037.27647865826,228066.2134998524,219650.59059137525,219650.59059137525,215650.59059137525,216189.26014248395
4,0.025,Decrease,Flat,Increase,Decrease,207881.09366695388,207602.02389951202,207602.02389951202,209201.95906679443,209922.99081159607,203553.45720764858,203553.45720764858,207602.02389951202,207881.09366695385
5,0.025,Decrease,Decrease,Increase,Flat,207881.09366695388,207602.02389951196,207602.02389951202,209201.95906679443,209922.99081159607,203553.4572076486,203553.4572076486,207602.02389951202,207881.09366695388
6,0.025,Flat,Decrease,Flat,Flat,208140.69345062066,207602.02389951196,207602.02389951193,211602.02389951193,211602.02389951196,211602.02389951193,211602.02389951193,207602.02389951196,208140.69345062066
7,0.025,Decrease,Increase,Flat,Decrease,207881.09366695388,207602.023899512,207602.02389951196,209201.95906679437,209922.99081159604,203553.45720764858,203553.45720764858,207602.02389951202,207881.0936669539
8,0.025,Flat,Flat,Decrease,Decrease,200092.12675875734,199553.4572076486,199553.45720764858,203553.4572076486,203553.4572076486,203553.4572076486,203553.4572076486,199553.4572076486,200092.12675875734
9,0.025,Decrease,Decrease,Flat,Increase,207881.09366695388,207602.02389951202,207602.02389951196,209201.95906679443,209922.99093811,203553.4572076486,203553.4572076486,207602.02389951202,207881.09366695388
10,0.025,Decrease,Flat,Flat,Increase,215164.58089672046,214885.51112927866,214885.51112927863,217250.52575865772,217971.55772739503,211602.0238995119,211602.0238995119,214885.51112927863,215164.58089672058
11,0.025,Increase,Increase,Increase,Increase,216189.26014248392,215650.59059137528,215650.59059137525,220774.61161993485,232763.1839050709,219650.59059137525,219650.59059137525,215650.59059137525,216189.26014248395
12,0.025,Decrease,Flat,Decrease,Increase,207881.09366695388,207602.023899512,207602.02389951196,209201.95906679443,209922.99081159604,203553.45720764858,203553.45720764858,207602.02389951196,207881.09366695382
13,0.025,Increase,Increase,Increase,Decrease,215929.66035881714,215650.59059137528,215650.59059137528,206988.70978679496,220503.91085202084,211602.02389951193,211602.02389951193,215650.59059137528,215929.6603588171
14,0.025,Increase,Flat,Flat,Decrease,215164.5808967205,214885.51112927863,214885.51112927857,211602.02389951193,217971.5575034594,211602.02389951193,211602.02389951193,214885.51112927866,215164.58089672055
15,0.025,Flat,Flat,Decrease,Flat,208140.6934506207,207602.02389951196,207602.02389951193,211602.02389951193,211602.02389951196,211602.02389951193,211602.02389951193,207602.023899512,208140.6934506207
16,0.025,Increase,Decrease,Decrease,Increase,213757.36191990858,213737.89193613356,213737.8919361336,209189.15459240688,216292.52441554348,203553.4572076486,203553.4572076486,213737.89193613367,213757.3619199087
17,0.025,Flat,Increase,Decrease,Flat,215164.58089672046,214885.5111292786,214885.51112927866,210736.69128728908,217971.5575034594,211602.02389951193,211602.02389951193,214885.51112927857,215164.58089672046
18,0.025,Increase,Flat,Increase,Flat,216189.26014248395,215650.59059137528,215650.59059137525,208113.64218268456,222182.94510828372,219650.59059137525,219650.59059137525,215650.59059137525,216189.26014248395
19,0.025,Decrease,Increase,Increase,Increase,215929.66035881714,215650.59059137525,215650.59059137522,199199.7428785984,220503.91085202084,211602.0238995119,211602.0238995119,215650.5905913753,215929.66035881714
20,0.025,Flat,Decrease,Decrease,Flat,200092.1267587574,199553.45720764872,199553.45720764858,203553.4572076486,203553.4572076486,203553.4572076486,203553.4572076486,199553.4572076487,200092.12675875745
21,0.025,Flat,Increase,Flat,Flat,216189.26014248398,215650.5905913753,215650.59059137528,201190.00788671087,219650.5905913753,219650.59059137525,219650.59059137525,215650.59059137528,216189.260142484
22,0.025,Decrease,Decrease,Decrease,Decrease,183994.99337503078,183456.32382392205,183456.323823922,187456.32382392194,187456.32382392194,187456.32382392194,187456.32382392194,183456.32382392205,183994.99337503078
23,0.025,Decrease,Decrease,Decrease,Flat,192043.560066894,191504.89051578534,191504.89051578526,195504.89051578526,195504.89051578526,195504.89051578526,195504.89051578526,191504.89051578534,192043.56006689396
24,0.025,Decrease,Increase,Increase,Flat,215929.66035881714,215650.59059137525,215650.59059137534,198789.9430539934,217971.5577547046,211602.0238995119,211602.0238995119,215650.59059137528,215929.66035881714
25,0.025,Decrease,Increase,Flat,Flat,214399.5014346237,214120.43166718184,214885.5111292787,217250.52575865772,217971.5575034594,211602.0238995119,211602.0238995119,214120.43166718193,214399.50143462373
26,0.025,Flat,Flat,Decrease,Increase,214399.50143462373,214120.43166718187,214885.51112927863,210736.69128728908,217971.5575034594,211602.02389951193,211602.02389951193,214120.43166718187,214399.50143462373
27,0.025,Increase,Decrease,Decrease,Flat,207881.09366695382,207602.02389951202,207602.02389951196,203553.4572076486,209922.99081159604,203553.4572076486,203553.4572076486,207602.02389951205,207881.09366695388
28,0.025,Flat,Flat,Flat,Increase,216189.26014248395,215650.59059137528,215650.59059137525,201190.00788671087,219650.5905913753,219650.59059137525,219650.59059137525,215650.59059137525,216189.26014248395
