scenario_id,probability,state__product_e1,state__product_e2,state__product_c1,state__product_l1,Multi-period,Start-period,Long-chain,Decision-rule,Perfect Information,Start-period RO,Multi-period RO,Start-period DRO,Multi-period DRO
0,0.012345679012345678,Increase,Increase,Increase,Increase,188636.62351694482,165661.50099767637,172805.32886573536,164598.56332300924,198136.40502088098,165661.5009976764,191077.20023477264,166195.49478622183,188538.0455948846
1,0.012345679012345678,Increase,Increase,Increase,Flat,158452.1899269143,137664.9997074368,152827.68999486807,156819.91218902863,170737.34548095494,137664.99970743677,156010.99885581434,138839.67321791057,157578.88336216158
2,0.012345679012345678,Increase,Increase,Increase,Decrease,181939.20360182575,160457.30790499193,160172.28623854808,159737.54843584454,185888.3196098352,160457.30790499196,177992.41552244287,160457.30790499196,183513.3483546817
3,0.012345679012345678,Increase,Increase,Flat,Increase,189305.33884883506,165479.07815750837,170607.72135105936,148162.26947640738,195021.15284701987,165003.94274447917,189944.2388705998,165364.28842181395,188776.56993040652
4,0.012345679012345678,Increase,Increase,Flat,Flat,186251.4522305099,162602.11024115805,169882.36453592477,172170.4812006732,189285.20356366033,162147.14205909977,185722.63077876324,162549.87204681046,188305.97175875423
5,0.012345679012345678,Increase,Increase,Flat,Decrease,172407.01761679948,161996.4789766614,164660.3161921852,154238.68597279492,187291.15541774288,161996.4789766614,173353.11329467883,161996.4789766614,184553.38851482235
6,0.012345679012345678,Increase,Increase,Decrease,Increase,180676.86919466904,163045.77792042762,170882.30813956767,183478.86966818076,188903.44586420615,162845.48148345653,187297.87732517358,163090.01406919752,187405.98294610105
7,0.012345679012345678,Increase,Increase,Decrease,Flat,179895.22247240023,160476.39217806706,173574.097301894,150757.3704742533,188208.18396790116,160147.14739104037,178916.93855785983,160415.72389695043,184655.0207565445
8,0.012345679012345678,Increase,Increase,Decrease,Decrease,187786.97533376765,168133.14329503267,170810.01758367015,174139.49333531584,189344.23491403408,168133.14329503267,179483.63729317114,168787.77848951734,188580.56533624436
9,0.012345679012345678,Increase,Flat,Increase,Increase,190131.59989063354,167575.14915572997,167508.40848273944,184779.85046600818,195539.74361151338,167341.59086994815,187286.6160853447,167341.59086994812,186246.0508807631
10,0.012345679012345678,Increase,Flat,Increase,Flat,184807.10461585727,161099.35550088756,167278.4646602634,181002.85572246506,186389.9956716115,161099.35550088756,178198.55520230305,161983.17080713774,178187.71288905345
11,0.012345679012345678,Increase,Flat,Increase,Decrease,172747.98336179575,156857.615467602,157944.8219566184,158650.36337788537,179055.2356281507,156857.615467602,165071.62887986412,157463.41317800523,166731.38361170003
12,0.012345679012345678,Increase,Flat,Flat,Increase,184263.65844041947,161345.11965039035,173416.64703267787,114463.17311205284,190716.21813888208,160992.0202228236,178361.01379261466,160992.0202228236,177776.92524662532
13,0.012345679012345678,Increase,Flat,Flat,Flat,178682.84712802715,161603.09294993777,160512.26065511606,114176.23211880482,185391.35975431933,161603.09294993777,183159.93599133517,161893.17853628026,182258.8826998425
14,0.012345679012345678,Increase,Flat,Flat,Decrease,160517.04810947741,143765.43807966483,144945.08332673428,131928.3262320615,164414.20632719726,143765.43807966483,152469.51384875036,143765.4380796648,156662.42040974717
15,0.012345679012345678,Increase,Flat,Decrease,Increase,180467.7828426853,163171.41245377908,169579.40576441138,143045.1111582694,188428.43159148766,162921.38517551782,179264.55938510635,162921.38517551776,179526.2389550266
16,0.012345679012345678,Increase,Flat,Decrease,Flat,187403.83896668864,167848.50784739666,168465.30389489298,169677.66639179012,189172.20969322708,167848.50784739666,184623.43900360182,167848.50784739666,187819.1762634609
17,0.012345679012345678,Increase,Flat,Decrease,Decrease,162134.98180364267,155264.65080894396,158057.3817297385,138985.28023352186,172227.39783566003,154522.20656724705,157477.45925487875,154940.92813347295,163598.6344766901
18,0.012345679012345678,Increase,Decrease,Increase,Increase,191347.32329465018,168905.95115922106,172662.40026505166,182109.02160094155,193048.1292190366,168826.00577259276,181196.033328079,169060.56706778877,186100.4706934592
19,0.012345679012345678,Increase,Decrease,Increase,Flat,168199.6663123775,148828.94369723438,149878.47158053017,147762.60949544498,169722.9061293111,148828.94369723438,162558.31536700582,148828.94369723435,164794.99912865716
20,0.012345679012345678,Increase,Decrease,Increase,Decrease,172732.68497154582,162465.74705899053,158626.0016890978,169633.72536664343,178443.6102130141,162465.74705899053,168737.8533493098,162666.16650787534,176787.18132085336
21,0.012345679012345678,Increase,Decrease,Flat,Increase,178695.98595859215,157034.7270802705,155424.9061106222,161885.24515898642,181594.76239450806,156996.86271261954,176766.27376153567,157862.0743368638,179196.237256332
22,0.012345679012345678,Increase,Decrease,Flat,Flat,167825.88668779828,152563.7214143225,145270.03350613365,119687.18853461833,170725.93237834005,152563.7214143225,162087.03113080555,152563.72141432253,164272.89075761772
23,0.012345679012345678,Increase,Decrease,Flat,Decrease,155946.05306708883,149275.61190221863,142307.54135839798,96735.78041062951,161751.82071819736,149275.61190221863,154149.73230312465,149275.61190221863,158695.10406903323
24,0.012345679012345678,Increase,Decrease,Decrease,Increase,181485.6445887003,162531.5653094031,162895.6366597588,140996.5757301221,182729.55620300546,162531.5653094031,180063.44328369747,162587.1149576159,180932.33919386426
25,0.012345679012345678,Increase,Decrease,Decrease,Flat,179524.30576752647,168645.63742145716,161985.26336792973,176100.2966042405,181898.32906457834,168510.077782151,177950.91246115085,169151.61441942852,180031.27453868015
26,0.012345679012345678,Increase,Decrease,Decrease,Decrease,170505.7891124087,166919.00029680837,155839.48631654846,167765.90351698763,176176.04137644637,166836.85157122865,163070.91679500477,167892.2341186957,168458.38369294716
27,0.012345679012345678,Flat,Increase,Increase,Increase,183953.26252726812,160587.49544225025,166587.27464763715,117505.21940248253,190135.42435711029,160587.49544225028,185353.28723774594,160587.49544225025,183766.04224553722
28,0.012345679012345678,Flat,Increase,Increase,Flat,184217.25526987834,160461.85199572594,171871.39032753228,158787.5983596755,187029.86078378285,160461.85199572597,185027.74813028652,161517.37609742166,184640.65822339512
29,0.012345679012345678,Flat,Increase,Increase,Decrease,187138.9866491134,168643.17914941584,158063.6695474367,159589.14013875468,189351.09228770604,168643.17914941584,181891.43595581414,168896.06867192255,186483.4158792282
30,0.012345679012345678,Flat,Increase,Flat,Increase,189607.74826258785,167251.22407094113,167903.89883626354,143655.0532320663,192785.9606966441,166696.10990057126,184277.4457902469,166696.1099005713,184130.3762488386
31,0.012345679012345678,Flat,Increase,Flat,Flat,172686.9170242971,161774.35732050074,165342.47777657615,141850.8959469393,185095.49187185953,161621.2508376687,175852.58994031107,161621.2508376687,176481.9360856546
32,0.012345679012345678,Flat,Increase,Flat,Decrease,152866.94301122974,144997.49507824364,144204.83405339968,157361.3243196948,164997.0478357042,144464.10398523306,158661.72992850543,144464.1039852331,162821.65942815202
33,0.012345679012345678,Flat,Increase,Decrease,Increase,169277.47799660225,146020.20970297273,146757.64797701009,147025.68870618223,174992.87495714868,146020.20970297276,166056.56973644358,146123.4737631258,166065.53688270808
34,0.012345679012345678,Flat,Increase,Decrease,Flat,174207.33940434284,161010.772216337,162869.48395090716,149166.1380674756,183867.52703636204,161010.77221633698,179874.49510044677,161065.10223787,182135.27292128257
35,0.012345679012345678,Flat,Increase,Decrease,Decrease,180615.71265990852,165849.014521189,162790.6072415245,167586.05368898067,183517.2934014454,165792.8685570037,173507.84593025735,166265.64466504622,181878.84604009503
36,0.012345679012345678,Flat,Flat,Increase,Increase,186609.49743269736,165073.30501986912,169585.8885584785,184591.02428874833,188772.3246521785,165073.30501986912,184258.91826101183,165413.20917016306,184589.50784613524
37,0.012345679012345678,Flat,Flat,Increase,Flat,153350.1230457227,130993.6338060273,140954.8533711874,95408.19121490952,166642.37195041653,130993.6338060273,153069.05150844067,130993.63380602733,151326.9352022315
38,0.012345679012345678,Flat,Flat,Increase,Decrease,174852.92424817508,169516.06509117418,162446.48786485117,174832.105274979,183524.9047355456,169516.06509117415,179326.764796615,169516.06509117415,180084.99538368842
39,0.012345679012345678,Flat,Flat,Flat,Increase,176911.1937071513,152250.00945333374,158785.51056531054,168368.01672360965,178506.4243346175,152250.00945333374,171014.25513621196,152250.00945333377,171518.07853566355
40,0.012345679012345678,Flat,Flat,Flat,Flat,165432.67211617212,154092.11333463044,153799.1958022954,157588.29066400975,173780.38896354707,154092.11333463047,172271.3830504464,154911.37718043395,171197.0089571824
41,0.012345679012345678,Flat,Flat,Flat,Decrease,150468.44607857076,149787.70867958438,153601.91092142012,135582.90950500523,170630.72565583338,148664.34524415602,159604.3618363553,148840.07556578462,161634.34643445956
42,0.012345679012345678,Flat,Flat,Decrease,Increase,180744.00757594648,159565.38511656618,161470.9437087435,169800.76423998756,182573.71022331459,159565.3851165662,182536.86261507974,159693.26682008267,181222.17048633134
43,0.012345679012345678,Flat,Flat,Decrease,Flat,161796.1635381281,151146.67154426978,147773.32360396307,138566.73822479657,167972.13529700314,151146.67154426975,156672.72028568154,151533.55749957258,155464.21357027226
44,0.012345679012345678,Flat,Flat,Decrease,Decrease,160020.73006489876,161384.28585030173,142143.45680925783,135725.25046552398,169026.92291955493,161176.68562456715,161476.0559373524,161219.15238680193,163138.84004404256
45,0.012345679012345678,Flat,Decrease,Increase,Increase,155136.1419528604,147437.07988343094,148273.09550755296,128543.53568339536,170481.54841684218,147437.07988343094,161061.7057255684,148294.77860861432,162717.30748362985
