scenario_id,probability,state__product_e1,state__product_e2,state__product_c1,state__product_l1,Multi-period,Start-period,Long-chain,Decision-rule,Perfect Information,Start-period RO,Multi-period RO,Start-period DRO,Multi-period DRO
46,0.012345679012345678,Flat,Decrease,Increase,Flat,178520.0967041976,165085.8460186909,161528.15951276003,175777.4165486645,180880.15647622832,164829.7463663751,178947.09462810875,164829.74636637513,178943.66502829833
47,0.012345679012345678,Flat,Decrease,Increase,Decrease,153514.8814111018,144605.51432980198,147278.6385431159,113872.786392543,162302.22647685345,144605.51432980204,152260.19455966033,144934.03523223771,155198.29113649146
48,0.012345679012345678,Flat,Decrease,Flat,Increase,154060.36500714967,141593.6406207532,148738.47034949186,106503.02518895037,166963.98710611573,141593.64062075323,156594.55264371503,141599.97175923086,157268.90682139236
49,0.012345679012345678,Flat,Decrease,Flat,Flat,169836.18107758218,160705.48882084942,152686.95446944734,104885.48611316262,172307.52107225615,160705.48882084942,166587.6530846734,160705.4888208494,165967.11750662298
50,0.012345679012345678,Flat,Decrease,Flat,Decrease,154141.04545793633,155969.6820091746,147620.34261996753,127643.90356229272,161192.9894013928,155395.2331491599,154625.0651793354,155339.34307089244,157203.83834239747
51,0.012345679012345678,Flat,Decrease,Decrease,Increase,168070.74522448145,161048.7723869442,155780.6086553756,155468.81155731023,177622.23133203527,161048.7723869442,174967.6164911015,161048.77238694424,176474.71262741263
52,0.012345679012345678,Flat,Decrease,Decrease,Flat,172505.51841194465,168856.95546743443,154728.50136867125,160085.51570087165,174675.79130136486,168856.95546743443,174353.51297443907,169323.24496869705,172118.34013910207
53,0.012345679012345678,Flat,Decrease,Decrease,Decrease,157125.96229830594,155571.4754571834,135261.75917283393,127041.65310736357,160687.82096619447,155092.80625699728,154013.27874062682,155544.83370821513,158964.8119938115
54,0.012345679012345678,Decrease,Increase,Increase,Increase,167616.68824528926,149878.78272142395,154155.1968777184,156756.984084077,175704.10465335904,149648.37941427363,168748.86191687366,149648.3794142736,171324.09055282362
55,0.012345679012345678,Decrease,Increase,Increase,Flat,175107.88907441217,161173.21792336428,162403.64154921993,173117.09546056163,183558.2791305615,161011.360332501,177433.77543186257,161011.36033250098,180283.68069409073
56,0.012345679012345678,Decrease,Increase,Increase,Decrease,165790.48057624386,163698.128376772,153181.83651879174,165165.9948022413,178604.48665521113,163185.2106311605,170775.19692611546,163554.66125480118,172312.24199329293
57,0.012345679012345678,Decrease,Increase,Flat,Increase,174811.47440591102,152791.70979842535,146405.20957703743,139364.51612710394,181092.0992019993,152102.94919659532,163190.8488048094,152102.94919659532,167439.0523708127
58,0.012345679012345678,Decrease,Increase,Flat,Flat,184051.10602954397,168767.92979146884,165457.76076358126,164089.13661257015,186054.69764200284,168767.92979146884,181592.85515881534,168767.92979146887,183428.28409003682
59,0.012345679012345678,Decrease,Increase,Flat,Decrease,168882.76973811036,159138.5475317526,158724.97813206908,140660.9676297088,174665.3724933651,157539.12411603323,161682.32981911433,157539.1241160333,165537.52750787506
60,0.012345679012345678,Decrease,Increase,Decrease,Increase,182342.05791204484,168868.40952118687,163816.5114605353,155558.55945765582,188202.56123986247,168831.50609299974,182800.93652491254,167901.9265761596,186086.27688239666
61,0.012345679012345678,Decrease,Increase,Decrease,Flat,180995.03857342422,168812.33157062932,162777.06806053463,168284.3575311114,182496.18306816317,168495.60349694337,173226.59249571172,167832.41272016268,175767.51161324908
62,0.012345679012345678,Decrease,Increase,Decrease,Decrease,152927.1525216944,148378.591377576,146603.0078460978,100031.49557192248,165665.81908867785,147477.18050165562,150685.5720440878,147423.39504856692,154158.45121150266
63,0.012345679012345678,Decrease,Flat,Increase,Increase,175319.09358970542,165474.8789045721,165921.77194263766,174434.47526756092,186786.01012413687,165236.78832845317,181414.68355283924,165360.49983508003,184973.86730137997
64,0.012345679012345678,Decrease,Flat,Increase,Flat,175192.34069465785,159820.34909082024,156879.17213329242,169952.7852876985,177091.27072748952,159820.3490908202,168138.36696982535,159820.3490908202,168249.06236881926
65,0.012345679012345678,Decrease,Flat,Increase,Decrease,139978.11767997683,139863.6779137626,138539.1700389486,127307.27661191695,158264.11893033353,139485.85997381646,149822.9665617133,139485.85997381646,149513.14084600465
66,0.012345679012345678,Decrease,Flat,Flat,Increase,146236.02781241405,137877.61738991647,138104.14815014286,87346.08411018015,162159.25598615193,137450.36531754138,152669.10050399287,137450.36531754138,152229.14222420164
67,0.012345679012345678,Decrease,Flat,Flat,Flat,176868.67526634026,168072.93452316205,158197.29224066436,168844.44726873958,179343.9304187143,168072.93452316208,174672.97310792745,168072.93452316205,172226.68019535113
68,0.012345679012345678,Decrease,Flat,Flat,Decrease,164404.93548541464,167585.2775520716,151259.71049667825,164140.6684323626,170685.83741635154,167010.7959680891,164384.09028688373,166976.87488726157,162851.4016974272
69,0.012345679012345678,Decrease,Flat,Decrease,Increase,179636.72880715865,165370.1304630316,154984.34292553345,162513.9372707991,181369.52353787795,165370.13046303153,179112.80128549447,165261.66802177444,179204.5458117799
70,0.012345679012345678,Decrease,Flat,Decrease,Flat,166865.60556133935,161049.6542688185,143874.16578606397,126279.69214225025,169733.41241944995,161049.65426881844,169152.18293496416,160340.0077253912,167751.87397247046
71,0.012345679012345678,Decrease,Flat,Decrease,Decrease,160733.10145796742,168541.27018392287,143810.27595227273,152174.40596273512,169061.1616679916,167919.40460023144,164181.73707418097,167919.40460023144,162254.54908613983
72,0.012345679012345678,Decrease,Decrease,Increase,Increase,172026.97512912608,157444.1144122943,148215.88374919884,152490.33972659838,173826.15368073492,156970.64058988693,161522.03125166736,156970.6405898869,166917.12500428595
73,0.012345679012345678,Decrease,Decrease,Increase,Flat,171213.59898682646,166556.1666016618,153617.51642079407,168810.30564352038,174639.16742440147,166354.4354608007,160138.84079702973,166354.43546080074,159540.06401797303
74,0.012345679012345678,Decrease,Decrease,Increase,Decrease,150471.66320469396,152807.235794363,143768.76599985213,127562.09974822136,159700.57239155218,152313.95288004895,152757.80103031552,152263.05919127492,150940.3944714936
75,0.012345679012345678,Decrease,Decrease,Flat,Increase,162334.76394424768,152865.9882842517,148674.29410764397,149421.1958146144,169817.4369177742,152865.9882842517,163915.20641012237,152865.98828425165,167060.29750836256
76,0.012345679012345678,Decrease,Decrease,Flat,Flat,165513.11559821176,160594.32241002473,146833.9241001022,157022.6051866921,166715.21818049415,160594.3224100247,165730.7981660132,160594.32241002467,164815.19779049506
77,0.012345679012345678,Decrease,Decrease,Flat,Decrease,155487.39377517527,158914.0561339663,140199.35268449006,151062.03271882396,159849.8506304452,158921.63830009266,152417.02246739934,158921.6383000926,151654.8110862875
78,0.012345679012345678,Decrease,Decrease,Decrease,Increase,163800.4388874748,157064.67119327444,147813.5143885983,151925.30101022747,170377.87765608658,157064.67119327444,160696.96025285203,156815.1018142638,160629.45764617383
79,0.012345679012345678,Decrease,Decrease,Decrease,Flat,143976.70376459617,149792.0934494506,131100.74568023882,119541.71526765547,155646.08106822325,149774.3448763914,153348.43120515608,149375.51457075236,152672.1251717449
80,0.012345679012345678,Decrease,Decrease,Decrease,Decrease,140676.7016018183,143822.0922391289,129264.41123179757,99131.12218570546,148502.42264100612,143709.80748712822,129901.07113625406,143709.80748712824,132196.48698128428
