design,mean,median,q1,q3,min,max,std,n
Multi-period,151003.45595127222,151003.45595127222,151003.45595127222,151003.45595127222,151003.45595127222,151003.45595127222,0.0,1
Start-period,149382.59722276664,149382.59722276664,149382.59722276664,149382.59722276664,149382.59722276664,149382.59722276664,0.0,1
Long-chain,139293.07261495598,139293.07261495598,139293.07261495598,139293.07261495598,139293.07261495598,139293.07261495598,0.0,1
Decision-rule,116979.8192315211,116979.8192315211,116979.8192315211,116979.8192315211,116979.8192315211,116979.8192315211,0.0,1
Perfect Information,152489.01231891842,152489.01231891842,152489.01231891842,152489.01231891842,152489.01231891842,152489.01231891842,0.0,1
Start-period RO,149382.5972227666,149382.5972227666,149382.5972227666,149382.5972227666,149382.5972227666,149382.5972227666,0.0,1
Multi-period RO,152489.01231891845,152489.01231891845,152489.01231891845,152489.01231891845,152489.01231891845,152489.01231891845,0.0,1
Start-period DRO,149382.59722276658,149382.59722276658,149382.59722276658,149382.59722276658,149382.59722276658,149382.59722276658,0.0,1
Multi-period DRO,150938.55600535555,150938.55600535555,150938.55600535555,150938.55600535555,150938.55600535555,150938.55600535555,0.0,1
