scenario_id,probability,state__product_e1,state__product_e2,state__product_c1,state__product_l1,Multi-period,Start-period,Long-chain,Decision-rule,Perfect Information,Start-period RO,Multi-period RO,Start-period DRO,Multi-period DRO
0,0.025590551181102362,Flat,Decrease,Decrease,Increase,168607.1677009571,152244.21047427406,140026.54009367884,152560.23555623414,171885.99310407182,152202.10721007938,168247.656220836,152202.10721007938,167457.3988294198
1,0.025590551181102362,Increase,Decrease,Flat,Increase,187435.65272223635,168719.27678885704,168644.51989735587,115232.39426474152,188972.73730877053,168719.27678885704,185888.39038166564,168719.276788857,187523.9924211328
2,0.025590551181102362,Increase,Increase,Flat,Increase,191680.42871302392,167956.29527698446,174679.31973796609,165448.80317466543,199169.42762565304,167671.05396727647,191126.4384176484,167948.06738641651,189422.84374317277
3,0.025590551181102362,Increase,Increase,Increase,Flat,179556.9928260025,154766.78793447692,163104.32750349506,161301.18486418473,188510.86248830167,154766.78793447692,179469.95317618156,154766.78793447692,177775.28814696212
4,0.025590551181102362,Decrease,Flat,Increase,Decrease,169743.14356393338,162833.9597947498,151169.80481624533,162773.32139311536,171635.97293238924,162833.95979474983,168104.16651163835,162833.95979474983,166877.11472819973
5,0.025590551181102362,Decrease,Decrease,Increase,Flat,157138.08578847648,154497.25101602633,144521.3151134873,160312.80229309984,164433.1151345857,154449.24608211176,161749.73298271524,154449.2460821118,162449.49426702928
6,0.025590551181102362,Flat,Decrease,Flat,Flat,164577.81642653208,162265.67812881438,154934.60909054775,168409.74882575072,174902.11761667673,162265.6781288144,169277.72356865465,162468.23414852557,168322.0338743367
7,0.025590551181102362,Decrease,Increase,Flat,Decrease,171084.86149239956,159079.96889112506,153503.75633762323,154921.39239505745,172566.22403073864,158790.2442593803,162488.45635915914,158790.2442593803,165870.60588520742
8,0.025590551181102362,Flat,Flat,Decrease,Decrease,167031.50468492773,161724.48803483197,155524.7052964747,151076.74330598352,169626.79572575737,161368.8768912743,164281.40643996303,162514.28080245975,166683.10946298798
9,0.025590551181102362,Decrease,Decrease,Flat,Increase,166408.56938310745,155395.38833420977,146663.27207507772,160030.2577535648,168726.8125566855,155395.38833420977,165711.60216223227,155398.58733972287,166060.1622304006
10,0.025590551181102362,Decrease,Flat,Flat,Increase,168949.23152868723,151754.61838975208,157886.85602349712,128052.77722612396,172432.01163776245,151754.61838975208,161316.41052337305,151754.618389752,164647.2573731725
11,0.025590551181102362,Increase,Increase,Increase,Increase,186802.78925812826,166179.37809903064,168243.3236450399,153448.4530049408,199545.15679459617,165978.2540149555,186391.86947919853,166235.1885909089,184929.09607621434
12,0.025590551181102362,Decrease,Flat,Decrease,Increase,174115.0852136919,161705.91589114186,156472.00516747168,172837.40205398214,177128.70237717373,161444.05240737303,175151.53804732973,161619.95925648208,175370.04062557948
13,0.025590551181102362,Increase,Increase,Increase,Decrease,171545.69617399044,153918.22295334187,161509.89064934594,161691.88807243542,181361.38488464896,153184.07862002458,169562.82000255244,153739.81873959943,180053.77807553613
14,0.025590551181102362,Increase,Flat,Flat,Decrease,177572.9384015656,160634.37797873744,155097.03501080713,164406.77734994912,182173.58701768692,160276.64448673546,172062.6108116282,160771.33739852917,180749.66463257995
15,0.025590551181102362,Flat,Flat,Decrease,Flat,168524.89815296198,151724.24094758625,151562.83848866407,129385.11900616529,170720.9930122841,151498.9684169211,170420.55733088037,151498.96841692107,168349.87004365376
16,0.025590551181102362,Increase,Decrease,Decrease,Increase,180153.0628331868,161436.41524091858,161094.32135700583,147563.63541112677,181962.16487607695,161172.29713645543,172476.29723667967,161297.13061147401,175573.8930831204
17,0.025590551181102362,Flat,Increase,Decrease,Flat,171910.1293005846,155656.78466471954,168379.33702822335,152660.2959096587,179661.51537493564,155491.56667163674,171682.11053100976,156405.61007538592,172127.20919979422
18,0.025590551181102362,Increase,Flat,Increase,Flat,163960.14824468762,139017.14997365724,153607.2765741114,127251.23948666724,168465.70295828354,139017.14997365724,157122.41820617605,139497.81774537778,157912.1482817835
19,0.025590551181102362,Decrease,Increase,Increase,Increase,184897.79557400715,166634.36582504137,170824.47237018292,175323.8736371841,191789.60751763047,166103.96347907808,176252.6851050958,166103.96347907808,182539.91227444768
20,0.025590551181102362,Flat,Decrease,Decrease,Flat,168745.5846989405,162208.24458241003,150745.60328858052,156610.18245708678,170779.14283915766,162208.24458241006,167108.5581678171,162301.42380182035,164862.00280024583
21,0.025590551181102362,Flat,Increase,Flat,Flat,182543.6524612349,160188.60028504775,157705.29201707375,158405.89632203526,183719.55846057096,160188.6002850478,181847.81503286434,160668.14292075805,181674.1834050906
22,0.025590551181102362,Decrease,Decrease,Decrease,Decrease,148891.62450538605,155866.33070279908,136749.9281251686,143475.30016568926,156702.87754015735,155673.844504792,152481.5071311853,155702.98087599498,152323.73509858717
23,0.025590551181102362,Decrease,Decrease,Decrease,Flat,158338.12726243233,165626.8017005547,146679.93467680793,158278.87492664126,167505.37045862078,165550.55210040684,167505.3681342367,165502.17232441987,164965.21443707793
24,0.025590551181102362,Decrease,Increase,Increase,Flat,185502.1425312184,166802.6969561714,151472.19347100586,142028.02270089783,187027.07761236525,165600.257523073,173089.3922680802,165600.25752307297,175710.8413105884
25,0.025590551181102362,Decrease,Increase,Flat,Flat,173363.2799104311,154689.0304726198,154228.9086403946,154483.3022298771,174421.34751568796,154689.0304726198,168261.74132717188,154711.06160378206,172291.26676537824
26,0.025590551181102362,Flat,Flat,Decrease,Increase,172498.48854106333,152055.79125675006,147691.37535771003,161587.99929985465,173155.28527061746,151968.58243704308,172984.96677283992,151968.5824370431,172424.73153315036
27,0.025590551181102362,Increase,Decrease,Decrease,Flat,157358.89707729718,146843.21866654864,151717.94146481567,117507.36537113972,168664.68709115533,146372.1686351374,154098.79192783838,146372.16863513744,157261.6026438768
28,0.025590551181102362,Flat,Flat,Flat,Increase,174189.7137484449,158033.7437067267,167086.39224007362,146124.52986522793,182345.61685067875,157486.22020467123,171982.40887390453,157486.22020467126,170714.84223203198
29,0.025590551181102362,Decrease,Decrease,Increase,Increase,165577.5905380656,156004.36122651093,148691.70176064473,132956.34517202587,173568.225194503,155455.76129620004,160552.63595001493,155455.76129620007,168233.33979108668
30,0.025590551181102362,Flat,Increase,Increase,Decrease,174734.62481768735,155305.71354749383,156994.64303594703,164499.6163212713,176091.02124317887,154655.89015441513,169928.4052222525,154655.89015441513,172892.40817510715
31,0.025590551181102362,Flat,Flat,Flat,Decrease,168115.95527748004,162519.35719274962,155745.6701957211,163050.35318134763,175426.1642340932,162519.35719274965,171233.70474652678,162519.35719274965,173492.19415576925
32,0.025590551181102362,Increase,Decrease,Flat,Decrease,157956.5347524513,156214.47507721308,149119.15471117786,159716.06202775362,168831.1214686362,156020.1881373161,159184.3333477624,156330.93629353668,167283.08942939318
33,0.025590551181102362,Flat,Decrease,Increase,Increase,184330.1504663907,165544.18569510503,165380.75466194423,181713.2525616655,185581.40095100788,165544.18569510506,179380.41629611142,165615.28688548022,183342.48630038148
34,0.0019685039370078757,Increase,Decrease,Flat,NoLaunch,122226.10132458466,135263.70708936854,108687.86351506267,141323.49581511636,143885.00998691635,135263.70708936854,111004.4571971232,141750.34259913923,122265.43028417834
35,0.025590551181102362,Flat,Increase,Increase,Flat,178414.2585091169,157331.7870996077,167169.89835781525,166852.6594974222,182373.16325361887,157331.78709960773,179443.33709128498,157650.80509634485,179565.1709575515
36,0.025590551181102362,Decrease,Flat,Decrease,Flat,172553.0096709988,165336.72972035274,150855.2442911334,162070.5703197369,174755.64057144796,164891.6518507759,174446.953122707,164891.65185077596,172824.5263690871
37,0.025590551181102362,Increase,Flat,Decrease,Decrease,166803.32204918045,152951.2739883106,159875.83162213213,105417.36625639973,173314.02226057503,152951.2739883106,160154.56066396425,153096.1559343986,167315.663012758
38,0.025590551181102362,Flat,Decrease,Increase,Decrease,161159.25699991948,154455.62585829847,140897.63778114726,136987.1948577073,166708.51479148693,154328.7363412187,162577.78428623325,154328.7363412187,164458.67500553367
39,0.025590551181102362,Increase,Increase,Decrease,Decrease,173141.8254893625,152565.45232667914,158355.02507930348,159227.34097065637,176864.00320835455,152028.27837290545,163372.53096946568,153763.90146962687,173239.1987046142
