design,nominal_expected_npv,dro_worst_expected_npv,dro_loss_vs_nominal
Multi-period,202416.20126737645,198486.8755751171,3929.3256922593573
Start-period,202416.20126737645,198486.8755751171,3929.3256922593573
Long-chain,202330.0388125826,198383.10428028807,3946.9345322945446
Decision-rule,189007.40875810044,183412.42179437767,5594.9869637227675
Perfect Information,205539.71343752675,201555.30490013983,3984.4085373869166
Start-period RO,199638.44998039133,195692.30560739635,3946.1443729949824
Multi-period RO,199638.44998039133,195692.30560739635,3946.1443729949824
Start-period DRO,202416.20126737645,198486.8755751171,3929.3256922593573
Multi-period DRO,202416.20126737645,198486.8755751171,3929.3256922593573
