scenario_id,probability,state__product_e1,state__product_e2,state__product_e3,state__product_e4,Multi-period,Start-period,Long-chain,Decision-rule,Perfect Information,Start-period RO,Multi-period RO,Start-period DRO,Multi-period DRO
0,0.012345679012345678,Increase,Increase,Increase,Increase,224357.64708774193,224357.64708774193,224357.64708774185,203820.5107725087,233376.65478713924,225647.312817493,225647.312817493,224357.64708774193,224357.64708774193
1,0.012345679012345678,Increase,Increase,Increase,Flat,195714.21079861096,195714.21079861096,195714.2107986109,180203.02314627607,204496.92578717618,195432.87407329679,195432.87407329679,195714.21079861096,195714.21079861096
2,0.012345679012345678,Increase,Increase,Increase,Decrease,202575.1164780131,202575.1164780131,202575.11647801293,195233.85665550426,208311.13673600883,199843.89330465056,199843.89330465056,202575.1164780131,202575.1164780131
3,0.012345679012345678,Increase,Increase,Flat,Increase,220459.9996729685,220459.9996729685,220402.176375872,216181.59824013326,226961.9195986825,220007.15904379557,220007.15904379557,220459.9996729685,220459.9996729685
4,0.012345679012345678,Increase,Increase,Flat,Flat,219585.16571215133,219585.16571215133,219287.09619477246,215930.5418801431,220538.58250251305,217742.4519937539,217742.4519937539,219585.16571215133,219585.16571215133
5,0.012345679012345678,Increase,Increase,Flat,Decrease,213304.3359989717,213304.3359989717,212427.33781556555,198523.85342305724,214984.2431030207,207716.3596096915,207716.3596096915,213304.3359989717,213304.3359989717
6,0.012345679012345678,Increase,Increase,Decrease,Increase,212644.9222135311,212644.92221353113,212644.92221353107,197020.84969078645,215871.87557525653,205281.27196404064,205281.27196404064,212644.92221353113,212644.9222135311
7,0.012345679012345678,Increase,Increase,Decrease,Flat,212356.84566597376,212356.84566597376,212452.53046926262,183604.78917912248,216423.36675062228,206326.58688008366,206326.58688008366,212356.84566597376,212356.84566597376
8,0.012345679012345678,Increase,Increase,Decrease,Decrease,215253.92752084412,215253.92752084412,215426.92511503887,212164.86660465522,216815.44157252458,208417.64676780836,208417.64676780836,215253.92752084412,215253.92752084412
9,0.012345679012345678,Increase,Flat,Increase,Increase,219475.41311417526,219475.41311417523,219475.4131141753,203706.85217330017,227883.9808431405,221045.88538426024,221045.88538426024,219475.41311417523,219475.41311417526
10,0.012345679012345678,Increase,Flat,Increase,Flat,217262.16802489417,217262.1680248941,217459.1849482929,196427.6739276317,220094.36940883915,216760.48937638896,216760.48937638896,217262.1680248941,217262.16802489417
11,0.012345679012345678,Increase,Flat,Increase,Decrease,209581.74965515934,209581.74965515934,209775.61821149438,196498.07179678345,211888.13431307825,206905.74826961986,206905.74826961986,209581.74965515934,209581.74965515934
12,0.012345679012345678,Increase,Flat,Flat,Increase,219291.84640976758,219291.84640976758,218807.0107764798,190956.47064005997,223812.69435905947,216197.25910256102,216197.25910256102,219291.84640976758,219291.84640976758
13,0.012345679012345678,Increase,Flat,Flat,Flat,202666.18042772854,202666.18042772854,202672.34718837735,182883.04360972473,205235.92890394505,204383.70570881077,204383.70570881077,202666.18042772854,202666.18042772854
14,0.012345679012345678,Increase,Flat,Flat,Decrease,186624.25840636762,186624.25840636762,186659.52750633025,165571.52483817138,189490.38855868328,184382.24605653022,184382.24605653022,186624.25840636762,186624.25840636762
15,0.012345679012345678,Increase,Flat,Decrease,Increase,216694.4707271545,216694.4707271545,216712.3959390709,185257.8236139801,217906.56890992355,210924.6004157658,210924.6004157658,216694.4707271545,216694.4707271545
16,0.012345679012345678,Increase,Flat,Decrease,Flat,215039.34183534473,215039.34183534473,214948.03698238535,202501.18063528067,216667.0494333279,212423.8208789428,212423.8208789428,215039.34183534473,215039.34183534473
17,0.012345679012345678,Increase,Flat,Decrease,Decrease,196164.8624486504,196164.8624486504,196176.3024105923,175700.62412070238,198506.2925254851,193023.18395804946,193023.18395804946,196164.8624486504,196164.8624486504
18,0.012345679012345678,Increase,Decrease,Increase,Increase,225962.0724938075,225962.0724938075,226329.55280276955,225816.97779445414,226962.81667068516,221578.0981769176,221578.0981769176,225962.0724938075,225962.0724938075
19,0.012345679012345678,Increase,Decrease,Increase,Flat,201031.7725987838,201031.7725987838,201023.9758297078,193244.30934489303,203494.2684249896,198794.25496695522,198794.25496695522,201031.7725987838,201031.7725987838
20,0.012345679012345678,Increase,Decrease,Increase,Decrease,210214.72445946437,210214.72445946437,210635.9758917768,182590.49443231954,211732.52829409993,203315.33450542626,203315.33450542626,210214.72445946437,210214.72445946437
21,0.012345679012345678,Increase,Decrease,Flat,Increase,199297.57406140488,199297.57406140488,198642.55984096965,189610.7853351854,203265.2451382003,193823.0938789391,193823.0938789391,199297.57406140488,199297.57406140488
22,0.012345679012345678,Increase,Decrease,Flat,Flat,194801.2912208485,194801.29122084845,194686.46674540523,169975.97552687727,196548.85273121757,194180.80695252417,194180.80695252417,194801.29122084845,194801.2912208485
23,0.012345679012345678,Increase,Decrease,Flat,Decrease,186520.66477397564,186520.66477397564,186748.28389096563,176545.72714629013,187353.31592371577,182653.4961129125,182653.4961129125,186520.66477397564,186520.66477397564
24,0.012345679012345678,Increase,Decrease,Decrease,Increase,210003.57805631027,210003.57805631027,210056.11031886452,205715.1169127772,211897.624090193,206222.97798629664,206222.97798629664,210003.57805631027,210003.57805631027
25,0.012345679012345678,Increase,Decrease,Decrease,Flat,201074.87769240083,201074.87769240083,201041.25801351888,165625.80985985108,202580.13080321185,197454.21866596944,197454.21866596944,201074.87769240083,201074.87769240083
26,0.012345679012345678,Increase,Decrease,Decrease,Decrease,199553.4572076487,199553.4572076487,199553.45720764858,201307.9114062723,202415.60702999443,198540.2566505817,198540.2566505817,199553.4572076487,199553.4572076487
27,0.012345679012345678,Flat,Increase,Increase,Increase,217246.94176384356,217246.94176384356,217272.13627962657,190966.01830942195,224902.6750863857,218139.14655173724,218139.14655173724,217246.94176384356,217246.94176384356
28,0.012345679012345678,Flat,Increase,Increase,Flat,215423.45992731812,215423.45992731812,215365.29398334346,183370.55423051363,217034.6624498194,214656.27856697488,214656.27856697488,215423.45992731812,215423.45992731812
