scenario_id,probability,state__product_e1,state__product_e2,state__product_c1,state__product_l1,Multistage stochastic,Two-stage multi-period (multistage recourse),Two-stage start-period (multistage recourse)
0,0.025590551181102362,Flat,Decrease,Decrease,Increase,172567.12927626644,170709.29290894218,152244.21047427406
1,0.025590551181102362,Increase,Decrease,Flat,Increase,189593.95185776436,188513.67666036228,168719.27678885704
2,0.025590551181102362,Increase,Increase,Flat,Increase,198377.89650923395,191961.4155591216,167956.29527698446
3,0.025590551181102362,Increase,Increase,Increase,Flat,189360.87477036635,179556.99282600248,154766.78793447692
4,0.025590551181102362,Decrease,Flat,Increase,Decrease,171192.58207707136,171619.46591310744,162833.95979474983
5,0.025590551181102362,Decrease,Decrease,Increase,Flat,166242.54607702108,163414.9064026839,154497.25101602633
6,0.025590551181102362,Flat,Decrease,Flat,Flat,175845.37879679678,166326.17091411786,162265.67812881435
7,0.025590551181102362,Decrease,Increase,Flat,Decrease,173056.9590140957,172708.68909753635,159079.96889112506
8,0.025590551181102362,Flat,Flat,Decrease,Decrease,169170.2816288355,167938.2863413572,161844.23800144854
9,0.025590551181102362,Decrease,Decrease,Flat,Increase,172654.09632623752,169208.89473674336,155395.38833420974
10,0.025590551181102362,Decrease,Flat,Flat,Increase,170559.40885210029,169754.44702449528,151754.61838975205
11,0.025590551181102362,Increase,Increase,Increase,Increase,196120.72702626695,186802.78925812832,166179.37809903064
12,0.025590551181102362,Decrease,Flat,Decrease,Increase,176759.4039539949,175699.2966729799,161705.91589114183
13,0.025590551181102362,Increase,Increase,Increase,Decrease,179886.1257414349,172191.33270871305,153918.22295334187
14,0.025590551181102362,Increase,Flat,Flat,Decrease,182966.7677764129,179940.37400812286,160634.37797873744
15,0.025590551181102362,Flat,Flat,Decrease,Flat,171999.6216640188,171481.13784452592,151724.24094758625
16,0.025590551181102362,Increase,Decrease,Decrease,Increase,180440.38963591104,180782.54675786837,161436.41524091858
17,0.025590551181102362,Flat,Increase,Decrease,Flat,174340.56850254882,173475.23589032597,155656.78466471954
18,0.025590551181102362,Increase,Flat,Increase,Flat,164796.24349658936,164958.36787821856,139017.14997365724
19,0.025590551181102362,Decrease,Increase,Increase,Increase,190733.4155395475,185410.08651638008,166634.36582504143
20,0.025590551181102362,Flat,Decrease,Decrease,Flat,168116.02621206868,170054.70693019681,162208.24458241006
21,0.025590551181102362,Flat,Increase,Flat,Flat,183999.16666252492,183133.8340503021,160188.60028504775
22,0.025590551181102362,Decrease,Decrease,Decrease,Decrease,157012.77054249583,153611.47001814086,156264.25511690695
23,0.025590551181102362,Decrease,Decrease,Decrease,Flat,167678.19573356493,162851.1806383906,165764.31975658124
24,0.025590551181102362,Decrease,Increase,Increase,Flat,185794.42739431915,186339.7256943548,166802.69695617136
25,0.025590551181102362,Decrease,Increase,Flat,Flat,174152.50233844217,174698.1588101378,154689.0304726198
26,0.025590551181102362,Flat,Flat,Decrease,Increase,170611.58396488975,175423.54412052204,152055.79125675006
27,0.025590551181102362,Increase,Decrease,Decrease,Flat,165906.85605024526,161868.01258876335,146843.21866654864
28,0.025590551181102362,Flat,Flat,Flat,Increase,179082.4131476295,174802.9883143039,158033.7437067267
29,0.025590551181102362,Decrease,Decrease,Increase,Increase,168471.05676121675,166102.43413259435,156004.36122651093
30,0.025590551181102362,Flat,Increase,Increase,Decrease,177915.07291222806,177049.74030000524,155305.71354749383
31,0.025590551181102362,Flat,Flat,Flat,Decrease,177879.77802676137,171211.5425288879,162519.35719274962
32,0.025590551181102362,Increase,Decrease,Flat,Decrease,170339.37816597792,161814.83539686794,156214.47507721308
33,0.025590551181102362,Flat,Decrease,Increase,Increase,185406.32394369697,185030.5331141086,165544.1856951051
34,0.0019685039370078757,Increase,Decrease,Flat,NoLaunch,127148.99508910155,122226.10132458468,135263.70708936854
35,0.025590551181102362,Flat,Increase,Increase,Flat,180330.56867015397,179465.2360579311,157331.78709960767
36,0.025590551181102362,Decrease,Flat,Decrease,Flat,174347.61729676637,173506.15590512546,165336.72972035274
37,0.025590551181102362,Increase,Flat,Decrease,Decrease,169066.22841966237,168246.69413605973,152951.2739883106
38,0.025590551181102362,Flat,Decrease,Increase,Decrease,166711.25545386318,167498.49484888077,154455.6258582985
39,0.025590551181102362,Increase,Increase,Decrease,Decrease,167970.92636441818,174173.4519294843,152565.45232667914
