design,mean,median,q1,q3,min,max,std,n
Multi-period,158915.49136610702,158915.49136610702,158915.49136610702,158915.49136610702,158915.49136610702,158915.49136610702,0.0,1
Start-period,170748.8020995859,170748.8020995859,170748.8020995859,170748.8020995859,170748.8020995859,170748.8020995859,0.0,1
Long-chain,139742.35293282176,139742.35293282176,139742.35293282176,139742.35293282176,139742.35293282176,139742.35293282176,0.0,1
Decision-rule,156202.17124585784,156202.17124585784,156202.17124585784,156202.17124585784,156202.17124585784,156202.17124585784,0.0,1
Perfect Information,171333.9203910571,171333.9203910571,171333.9203910571,171333.9203910571,171333.9203910571,171333.9203910571,0.0,1
Start-period RO,170748.80209958588,170748.80209958588,170748.80209958588,170748.80209958588,170748.80209958588,170748.80209958588,0.0,1
Multi-period RO,171333.9203910571,171333.9203910571,171333.9203910571,171333.9203910571,171333.9203910571,171333.9203910571,0.0,1
Start-period DRO,170748.8020995859,170748.8020995859,170748.8020995859,170748.8020995859,170748.8020995859,170748.8020995859,0.0,1
Multi-period DRO,158915.49136610705,158915.49136610705,158915.49136610705,158915.49136610705,158915.49136610705,158915.49136610705,0.0,1
