,mean,median,q1,q3,min,max,std
Multi-period,188874.28680152248,189031.27812006406,181656.63190499946,196405.92433512863,163875.6130739556,208946.6963592985,10374.714019881025
Start-period,180517.14918208108,180923.9414160198,180181.3652906472,181666.51754139242,170748.8020995859,182409.09366676502,1862.554974889001
Long-chain,166088.86761398613,166245.85893252768,158197.29224066436,174294.42562439103,139742.35293282178,187509.1181253597,11013.31846510288
Decision-rule,178964.000867116,179584.4947908112,173446.55923557936,185105.579932626,158170.71707650734,193001.7375767619,7719.250798176331
Perfect Information,190383.68229763795,189780.0786498404,182405.4324347758,197154.72486490506,171333.92039105712,210226.0319087448,9238.456717336001
