,mean,median,q1,q3,min,max,std
Multi-period,188874.2868015225,189031.27812006406,181656.63190499946,196405.92433512863,163875.61307395564,208946.6963592985,10374.714019881018
Start-period,180517.14918208108,180923.9414160198,180181.3652906472,181666.51754139242,170748.8020995859,182409.09366676502,1862.554974889001
Long-chain,166088.86761398613,166245.85893252768,158197.29224066436,174294.42562439103,139742.35293282178,187509.1181253597,11013.31846510288
Decision-rule,178964.000867116,179584.4947908112,173446.55923557936,185105.579932626,158170.71707650734,193001.7375767619,7719.250798176331
Perfect Information,190383.68235874423,189780.0786498404,182405.43243477578,197154.724864905,171333.92039105712,210226.03190874477,9238.4566162907
