,mean,median,q1,q3,min,max,std
Multi-period,210597.22160079575,215164.58089672046,207881.09366695388,215929.66035881717,183994.99337503078,216189.26014248404,7578.239090090263
Start-period,210238.02844333326,214885.5111292786,207602.023899512,215650.59059137528,183456.32382392205,215650.5905913754,7625.530980485136
Long-chain,210238.02844333317,214885.5111292786,207602.02389951196,215650.59059137525,183456.323823922,215650.59059137537,7625.530980485147
Decision-rule,205172.9219393385,203553.4572076486,200324.67527448805,210736.69128728908,187456.32382392194,220774.61161993485,6841.879245875416
Perfect Information,214212.9029787181,217971.55750345936,209922.99081159604,217971.5575034594,187456.32382392194,232763.1839050709,8528.432161958275
