,mean,median,q1,q3,min,max,std
Multi-period,170662.96363141548,172505.51841194465,161796.1635381281,180676.86919466904,139978.11767997683,191347.32329465018,12815.798713081926
Start-period,158364.46232644332,160705.48882084942,152791.70979842535,165474.8789045721,130993.6338060273,169516.06509117418,8871.531265180029
Long-chain,155830.28028565756,155839.48631654846,147620.34261996753,163816.5114605353,129264.41123179757,173574.097301894,10722.347963227125
Decision-rule,148633.21645134088,154238.68597279492,135582.90950500523,167765.90351698763,87346.08411018015,184779.85046600818,23731.427011199416
Perfect Information,177162.60483478845,178443.6102387802,169733.41241945003,186054.69764200278,148502.42264100612,198136.40502088098,10698.783596500072
