analysis,analysis_name,analysis_task_index,run_id,established_products,launch_products,decline_products,growth_demand_level,availability,probability_launch,n_scenarios_sampled,seed,capacity_seed,evaluation_include_no_launch,solver_threads,time_limit_multi,time_limit_single,time_limit_long,time_limit_evaluation,multi_profit,single_profit,long_profit,n_arcs_multi,n_arcs_single,n_arcs_long,multi_machines,single_machines,n_machines_long,VMPSP,VMPLC,percent_vmpsp,percent_vmplc,planning_scenarios,evaluation_scenarios,status,runtime_seconds,error_type,error_message
3,Launch products vs growth demand level,0,1,4,0,0,30,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,192193.19388778624,189837.44470429813,189846.16200539024,8,4,8,5,4,4,2355.7491834881075,2347.031882396026,1.240929673888921,1.2362809221970934,40,81,success,201.59833503700796,,
3,Launch products vs growth demand level,1,2,4,0,0,35,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,192193.19388778624,189837.44470429813,189846.16200539024,8,4,8,5,4,4,2355.7491834881075,2347.031882396026,1.240929673888921,1.2362809221970934,40,81,success,166.77941838186234,,
3,Launch products vs growth demand level,2,3,4,0,0,40,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,192193.19388778624,189837.44470429813,189846.16200539024,8,4,8,5,4,4,2355.7491834881075,2347.031882396026,1.240929673888921,1.2362809221970934,40,81,success,169.95260714995675,,
3,Launch products vs growth demand level,3,4,4,0,0,45,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,192193.19388778624,189837.44470429813,189846.16200539024,8,4,8,5,4,4,2355.7491834881075,2347.031882396026,1.240929673888921,1.2362809221970934,40,81,success,169.9024187962059,,
3,Launch products vs growth demand level,4,5,4,0,0,50,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,192193.19388778624,189837.44470429813,189846.16200539024,8,4,8,5,4,4,2355.7491834881075,2347.031882396026,1.240929673888921,1.2362809221970934,40,81,success,176.28386393398978,,
3,Launch products vs growth demand level,5,6,4,0,0,55,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,192193.19388778624,189837.44470429813,189846.16200539024,8,4,8,5,4,4,2355.7491834881075,2347.031882396026,1.240929673888921,1.2362809221970934,40,81,success,170.8419611109421,,
3,Launch products vs growth demand level,6,7,4,0,0,60,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,192193.19388778624,189837.44470429813,189846.16200539024,8,4,8,5,4,4,2355.7491834881075,2347.031882396026,1.240929673888921,1.2362809221970934,40,81,success,188.1297992649488,,
3,Launch products vs growth demand level,7,8,3,1,0,30,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,160218.94163022583,149558.6199083699,149618.56366033963,9,8,8,5,4,4,10660.32172185593,10600.377969886204,7.127855103495332,7.084934991055604,40,81,success,344.38924752292223,,
3,Launch products vs growth demand level,8,9,3,1,0,35,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,164366.59577274884,150265.17137453536,150333.26524792245,9,8,8,5,4,4,14101.42439821348,14033.330524826391,9.384359841486976,9.334813889449746,40,81,success,345.810648499988,,
3,Launch products vs growth demand level,9,10,3,1,0,40,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,168230.0060753791,150657.65294515225,150712.01781693395,8,8,8,5,4,4,17572.35313022684,17517.98825844514,11.6637640283857,11.623484651186738,40,81,success,359.75099308788776,,
