analysis,analysis_name,analysis_task_index,run_id,established_products,launch_products,decline_products,launch_time,availability,probability_launch,n_scenarios_sampled,seed,capacity_seed,evaluation_include_no_launch,solver_threads,time_limit_multi,time_limit_single,time_limit_long,time_limit_evaluation,multi_profit,single_profit,long_profit,n_arcs_multi,n_arcs_single,n_arcs_long,multi_machines,single_machines,n_machines_long,VMPSP,VMPLC,percent_vmpsp,percent_vmplc,planning_scenarios,evaluation_scenarios,status,runtime_seconds,error_type,error_message
5,Launch products vs launch time,0,1,4,0,0,1,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,192193.19388778624,189837.44470429813,189846.16200539024,8,4,8,5,4,4,2355.7491834881075,2347.031882396026,1.240929673888921,1.2362809221970934,40,81,success,165.84105339599773,,
5,Launch products vs launch time,1,2,4,0,0,2,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,192193.19388778624,189837.44470429813,189846.16200539024,8,4,8,5,4,4,2355.7491834881075,2347.031882396026,1.240929673888921,1.2362809221970934,40,81,success,168.41815659799613,,
5,Launch products vs launch time,2,3,4,0,0,3,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,192193.19388778624,189837.44470429813,189846.16200539024,8,4,8,5,4,4,2355.7491834881075,2347.031882396026,1.240929673888921,1.2362809221970934,40,81,success,184.8328279410489,,
5,Launch products vs launch time,3,4,4,0,0,4,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,192193.19388778624,189837.44470429813,189846.16200539024,8,4,8,5,4,4,2355.7491834881075,2347.031882396026,1.240929673888921,1.2362809221970934,40,81,success,165.3331811010139,,
5,Launch products vs launch time,4,5,4,0,0,5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,192193.19388778624,189837.44470429813,189846.16200539024,8,4,8,5,4,4,2355.7491834881075,2347.031882396026,1.240929673888921,1.2362809221970934,40,81,success,164.2086798789678,,
5,Launch products vs launch time,5,6,3,1,0,1,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,176676.46209723217,167649.63983751918,159939.90787757,8,8,8,5,5,4,9026.822259712992,16736.554219662183,5.384337400582256,10.464276515948477,40,81,success,363.9417272430146,,
5,Launch products vs launch time,6,7,3,1,0,2,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,174330.24110045034,156847.0785285436,155296.27805761085,8,8,8,5,5,4,17483.162571906723,19033.96304283949,11.14662940229714,12.25654811622619,40,81,success,362.5356649319874,,
5,Launch products vs launch time,7,8,3,1,0,3,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,171902.7589670305,150849.6951566435,150888.59563619192,8,8,8,5,4,4,21053.06381038701,21014.16333083858,13.956318432414031,13.926939436500495,40,81,success,366.42111381096765,,
5,Launch products vs launch time,8,9,3,1,0,4,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,169921.10611101208,146688.11338338722,146677.7160797448,9,8,8,5,4,4,23232.992727624864,23243.39003126728,15.838360854026812,15.84657209867548,40,81,success,315.99379255995154,,
5,Launch products vs launch time,9,10,3,1,0,5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,161573.97995010132,142822.5938755914,142138.13092046248,8,6,8,5,3,4,18751.38607450991,19435.849029638837,13.12914544238266,13.673916283952492,40,81,success,255.07080914394464,,
5,Launch products vs launch time,10,11,2,2,0,1,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,157266.27436796392,139790.56742943867,125753.1867201184,9,8,8,6,5,4,17475.706938525254,31513.08764784553,12.501349168173578,25.059474411556977,40,81,success,420.41301200399175,,
5,Launch products vs launch time,11,12,2,2,0,2,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,152645.3653138639,120651.1468879944,113279.33735467566,9,8,8,6,5,4,31994.218425869505,39366.02795918824,26.517956315468016,34.75128728545956,40,81,success,377.24150794395246,,
5,Launch products vs launch time,12,13,2,2,0,3,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,148181.2427051444,103006.888612457,101582.809355201,9,8,8,6,5,4,45174.3540926874,46598.4333499434,43.85566315146839,45.872361323464006,40,81,success,391.5361358759692,,
5,Launch products vs launch time,13,14,2,2,0,4,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,143871.73963426676,96131.68064027504,90595.73725295358,9,6,8,6,3,4,47740.058993991726,53276.00238131319,49.66110929926955,58.806301484760304,40,81,success,311.8656804970233,,
5,Launch products vs launch time,14,15,2,2,0,5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,128422.19287112482,95414.84733630242,80257.59457509022,8,4,8,5,2,4,33007.345534822394,48164.5982960346,34.59351081753931,60.0125116520544,40,81,success,306.71289011405315,,
5,Launch products vs launch time,15,16,1,3,0,1,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,142295.97902518313,114670.88839487082,91408.77815140715,9,9,8,6,6,4,27625.090630312305,50887.20087377596,24.09076184635887,55.669927880982826,40,81,success,483.4818789900746,,
5,Launch products vs launch time,16,17,1,3,0,2,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,135264.52879010764,81746.02436213038,71129.80272680463,9,9,8,6,6,4,53518.504427977256,64134.72606330301,65.46924434012011,90.1657583806772,40,81,success,483.4037784610409,,
5,Launch products vs launch time,17,18,1,3,0,3,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,128521.82802858582,54722.0122114167,52181.77373195914,9,7,8,6,5,4,73799.81581716912,76340.05429662668,134.8631251571049,146.29639591931237,40,81,success,483.4479091200046,,
5,Launch products vs launch time,18,19,1,3,0,4,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,121703.40341602656,47890.41846460223,34451.80082611801,10,2,8,6,1,4,73812.98495142433,87251.60258990855,154.12892039350737,253.257015591948,40,81,success,304.0941880639876,,
5,Launch products vs launch time,19,20,1,3,0,5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,96401.16558572854,47581.41403482343,18248.09504343351,9,1,8,6,1,4,48819.75155090511,78153.07054229503,102.60256560508138,428.28070741783006,40,81,success,304.2222015929874,,
5,Launch products vs launch time,20,21,0,4,0,1,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,122042.10337617868,85413.76429855774,57038.69535365136,10,9,8,7,6,4,36628.33907762094,65003.40802252732,42.88341507767903,113.9637006412807,40,81,success,483.4889406970469,,
5,Launch products vs launch time,21,22,0,4,0,2,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,112369.06125253555,44338.21828975598,28969.71619354325,10,9,8,7,6,4,68030.84296277957,83399.3450589923,153.4361225753124,287.8845774732867,40,81,success,483.3725948691135,,
5,Launch products vs launch time,22,23,0,4,0,3,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,103552.869516816,6578.188625384908,2777.042073111632,9,4,8,6,4,4,96974.68089143108,100775.82744370436,1474.185165764486,3628.890913085325,40,81,success,483.4278239260893,,
5,Launch products vs launch time,23,24,0,4,0,4,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,95941.8177664432,-0.0,-21692.13560071653,9,0,8,6,0,4,0.0,117633.95336715972,0.0,0.0,40,81,success,303.62206225201953,,
5,Launch products vs launch time,24,25,0,4,0,5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,63378.42093344976,-0.0,-44164.86907455241,9,0,8,6,0,4,0.0,107543.29000800216,0.0,0.0,40,81,success,303.5422365979757,,
