Analysis,Analysis Name,Analysis Task Index,Run Id,Established Products,Launch Products,Decline Products,Growth Slope,Availability,Probability Launch,N Scenarios Sampled,Seed,Capacity Seed,Evaluation Include No Launch,Solver Threads,Time Limit Multi,Time Limit Single,Time Limit Long,Time Limit Evaluation,Multi Profit,Single Profit,Long Profit,N Arcs Multi,N Arcs Single,N Arcs Long,Multi Machines,Single Machines,N Machines Long,VMPSP,VMPLC,Percent Vmpsp,Percent Vmplc,Planning Scenarios,Evaluation Scenarios,Status,Runtime Seconds,Error Type,Error Message,Growth Demand Level,Launch Time,Net Revenue,Decline Slope,Decline Demand Level,Competition Time,Number of Arcs Multi-Period,Number of Arcs Start-Period,Number of Arcs Long-Chain,Number Of Machines Multi-Period,Number Of Machines Start-Period,Number Of Machines Long-Chain,Decline Time,Unit Operating Profit
4,Launch products vs growth slope,0,1,4,0,0,0.5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,192193.19388778624,189837.44470429813,189846.16200539024,8,4,8,5,4,4,2355.7491834881075,2347.031882395997,1.240929673888921,1.2362809221970934,40,81,success,172.2261761368718,,,45,3,300,0.5,15,3,8,4,8,5,4,4,3,300
4,Launch products vs growth slope,1,2,4,0,0,1.0,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,192193.19388778624,189837.44470429813,189846.16200539024,8,4,8,5,4,4,2355.7491834881075,2347.031882395997,1.240929673888921,1.2362809221970934,40,81,success,190.21411401196383,,,45,3,300,0.5,15,3,8,4,8,5,4,4,3,300
4,Launch products vs growth slope,2,3,4,0,0,1.5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,192193.19388778624,189837.44470429813,189846.16200539024,8,4,8,5,4,4,2355.7491834881075,2347.031882395997,1.240929673888921,1.2362809221970934,40,81,success,190.4815102829598,,,45,3,300,0.5,15,3,8,4,8,5,4,4,3,300
4,Launch products vs growth slope,3,4,4,0,0,2.0,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,192193.19388778624,189837.44470429813,189846.16200539024,8,4,8,5,4,4,2355.7491834881075,2347.031882395997,1.240929673888921,1.2362809221970934,40,81,success,176.74124666606076,,,45,3,300,0.5,15,3,8,4,8,5,4,4,3,300
4,Launch products vs growth slope,4,5,4,0,0,2.5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,192193.19388778624,189837.44470429813,189846.16200539024,8,4,8,5,4,4,2355.7491834881075,2347.031882395997,1.240929673888921,1.2362809221970934,40,81,success,185.695094130002,,,45,3,300,0.5,15,3,8,4,8,5,4,4,3,300
4,Launch products vs growth slope,5,6,4,0,0,3.0,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,192193.19388778624,189837.44470429813,189846.16200539024,8,4,8,5,4,4,2355.7491834881075,2347.031882395997,1.240929673888921,1.2362809221970934,40,81,success,190.99421922606416,,,45,3,300,0.5,15,3,8,4,8,5,4,4,3,300
4,Launch products vs growth slope,6,7,4,0,0,3.5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,192193.19388778624,189837.44470429813,189846.16200539024,8,4,8,5,4,4,2355.7491834881075,2347.031882395997,1.240929673888921,1.2362809221970934,40,81,success,189.4153393600136,,,45,3,300,0.5,15,3,8,4,8,5,4,4,3,300
4,Launch products vs growth slope,7,8,4,0,0,4.0,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,192193.19388778624,189837.44470429813,189846.16200539024,8,4,8,5,4,4,2355.7491834881075,2347.031882395997,1.240929673888921,1.2362809221970934,40,81,success,190.18590171798127,,,45,3,300,0.5,15,3,8,4,8,5,4,4,3,300
4,Launch products vs growth slope,8,9,3,1,0,0.5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,173509.09061080182,150913.4652165868,150970.37373506345,8,8,8,5,4,4,22595.62539421502,22538.716875738377,14.972570778748212,14.929231688391637,40,81,success,359.94320578686893,,,45,3,300,0.5,15,3,8,8,8,5,4,4,3,300
4,Launch products vs growth slope,9,10,3,1,0,1.0,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,173159.40160148332,150903.46762317346,150957.1655645183,8,8,8,5,4,4,22255.933978309855,22202.236036965012,14.74845762582869,14.707639716165616,40,81,success,356.50813691387884,,,45,3,300,0.5,15,3,8,8,8,5,4,4,3,300
4,Launch products vs growth slope,10,11,3,1,0,1.5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,172618.86978879737,150884.62221935063,150936.5947921536,8,8,8,5,4,4,21734.247569446743,21682.27499664377,14.404547825854808,14.365154471982905,40,81,success,359.7557937640231,,,45,3,300,0.5,15,3,8,8,8,5,4,4,3,300
4,Launch products vs growth slope,11,12,3,1,0,2.0,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,171902.7589670305,150849.6951566435,150888.59563619192,8,8,8,5,4,4,21053.063810387015,21014.16333083858,13.956318432414031,13.926939436500495,40,81,success,369.51704283896834,,,45,3,300,0.5,15,3,8,8,8,5,4,4,3,300
4,Launch products vs growth slope,12,13,3,1,0,2.5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,171462.2062341766,150792.02256625617,150824.7466749272,9,8,8,5,4,4,20670.183667920443,20637.4595592494,13.707743497397692,13.683072582067282,40,81,success,362.3977876950521,,,45,3,300,0.5,15,3,9,8,8,5,4,4,3,300
4,Launch products vs growth slope,13,14,3,1,0,3.0,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,171066.9173793534,150697.1459204876,150744.53121263953,9,8,8,5,4,4,20369.771458865813,20322.38616671387,13.51702537857852,13.4813422438836,40,81,success,355.4817322699819,,,45,3,300,0.5,15,3,9,8,8,5,4,4,3,300
4,Launch products vs growth slope,14,15,3,1,0,3.5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,170638.14738279957,150574.73986243745,150628.36140550114,9,8,8,5,4,4,20063.407520362118,20009.785977298423,13.324550677418877,13.284208757626198,40,81,success,363.4692770810798,,,45,3,300,0.5,15,3,9,8,8,5,4,4,3,300
4,Launch products vs growth slope,15,16,3,1,0,4.0,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,170174.38264433178,150437.7585432915,150480.01534150445,9,8,8,5,4,4,19736.624101040274,19694.367302827333,13.11946169110241,13.087696235365389,40,81,success,355.7641735689249,,,45,3,300,0.5,15,3,9,8,8,5,4,4,3,300
4,Launch products vs growth slope,16,17,2,2,0,0.5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,150783.56690509542,104015.70995129144,101586.50539080652,9,8,8,6,5,4,46767.856953803974,49197.0615142889,44.96230134438776,48.42873699122361,40,81,success,385.82087763305753,,,45,3,300,0.5,15,3,9,8,8,6,5,4,3,300
4,Launch products vs growth slope,17,18,2,2,0,1.0,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,150122.36990857258,103632.9325520616,101586.50539080656,9,8,8,6,5,4,46489.437356510985,48535.86451776602,44.85971419669737,47.7778660965322,40,81,success,398.45829301606864,,,45,3,300,0.5,15,3,9,8,8,6,5,4,3,300
4,Launch products vs growth slope,18,19,2,2,0,1.5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,149277.9877780049,103375.3409476292,101586.50539080672,9,8,8,6,5,4,45902.6468303757,47691.48238719818,44.40386499293902,46.94667092221296,40,81,success,389.6262710241135,,,45,3,300,0.5,15,3,9,8,8,6,5,4,3,300
4,Launch products vs growth slope,19,20,2,2,0,2.0,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,148181.2427051444,103006.888612457,101582.809355201,9,8,8,6,5,4,45174.3540926874,46598.4333499434,43.85566315146839,45.872361323464006,40,81,success,399.2237072370481,,,45,3,300,0.5,15,3,9,8,8,6,5,4,3,300
4,Launch products vs growth slope,20,21,2,2,0,2.5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,146810.3621609446,102513.9832105423,101571.49421929364,9,8,8,6,5,4,44296.378950402315,45238.86794165097,43.210084676377086,44.53894105759624,40,81,success,436.66740441392176,,,45,3,300,0.5,15,3,9,8,8,6,5,4,3,300
4,Launch products vs growth slope,21,22,2,2,0,3.0,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,145773.24458894593,102344.3227079578,101532.70809381844,10,7,8,6,4,4,43428.92188098813,44240.5364951275,42.4341289598581,43.5726942831548,40,81,success,380.1021608689334,,,45,3,300,0.5,15,3,10,7,8,6,4,4,3,300
4,Launch products vs growth slope,22,23,2,2,0,3.5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,145040.67888352537,102134.52454337532,101445.98055140609,12,7,8,6,4,4,42906.15434015005,43594.69833211928,42.00945227089034,42.9733125897762,40,81,success,366.7179876328446,,,45,3,300,0.5,15,3,12,7,8,6,4,4,3,300
4,Launch products vs growth slope,23,24,2,2,0,4.0,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,144141.17916363565,101782.96093412556,101319.16663984698,12,7,8,6,4,4,42358.218229510094,42822.01252378867,41.616217332215896,42.26447368641063,40,81,success,384.2293640738353,,,45,3,300,0.5,15,3,12,7,8,6,4,4,3,300
