analysis,analysis_name,analysis_task_index,run_id,established_products,launch_products,decline_products,competition_time,availability,probability_launch,n_scenarios_sampled,seed,capacity_seed,evaluation_include_no_launch,solver_threads,time_limit_multi,time_limit_single,time_limit_long,time_limit_evaluation,multi_profit,single_profit,long_profit,n_arcs_multi,n_arcs_single,n_arcs_long,multi_machines,single_machines,n_machines_long,VMPSP,VMPLC,percent_vmpsp,percent_vmplc,planning_scenarios,evaluation_scenarios,status,runtime_seconds,error_type,error_message
6,Decline products vs competition time,0,1,4,0,0,1,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,192193.19388778624,189837.44470429813,189846.16200539024,8,4,8,5,4,4,2355.7491834881075,2347.031882396026,1.240929673888921,1.2362809221970934,40,81,success,225.8171880879672,,
6,Decline products vs competition time,1,2,4,0,0,2,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,192193.19388778624,189837.44470429813,189846.16200539024,8,4,8,5,4,4,2355.7491834881075,2347.031882396026,1.240929673888921,1.2362809221970934,40,81,success,222.887732493924,,
6,Decline products vs competition time,2,3,4,0,0,3,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,192193.19388778624,189837.44470429813,189846.16200539024,8,4,8,5,4,4,2355.7491834881075,2347.031882396026,1.240929673888921,1.2362809221970934,40,81,success,222.7764985389076,,
6,Decline products vs competition time,3,4,4,0,0,4,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,192193.19388778624,189837.44470429813,189846.16200539024,8,4,8,5,4,4,2355.7491834881075,2347.031882396026,1.240929673888921,1.2362809221970934,40,81,success,222.45276146696412,,
6,Decline products vs competition time,4,5,4,0,0,5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,192193.19388778624,189837.44470429813,189846.16200539024,8,4,8,5,4,4,2355.7491834881075,2347.031882396026,1.240929673888921,1.2362809221970934,40,81,success,227.0147285850253,,
6,Decline products vs competition time,5,6,3,0,1,1,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,182252.8131151229,182043.5107895416,181344.68301548445,7,7,8,4,4,4,209.30232558134597,908.1300996384524,0.1149737909764429,0.5007756966113587,40,81,success,61.4580384879373,,
6,Decline products vs competition time,6,7,3,0,1,2,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,183505.9568612052,183121.3776109465,182411.58098760011,7,7,8,4,4,4,384.5792502586846,1094.3758736050804,0.2100133011645142,0.5999486807142322,40,81,success,68.1900607800344,,
6,Decline products vs competition time,7,8,3,0,1,3,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,184660.8642160152,184133.83379970252,183435.4770746405,7,7,8,4,4,4,527.0304163126566,1225.3871413746965,0.2862213887785287,0.6680207999655826,40,81,success,54.32701634708792,,
6,Decline products vs competition time,8,9,3,0,1,4,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,185737.41127650667,185142.7121779606,184535.91039068767,7,7,8,4,4,4,594.6990985460579,1201.5008858189976,0.3212111843616229,0.6510932659530909,40,81,success,68.46302409796044,,
6,Decline products vs competition time,9,10,3,0,1,5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,186179.23730918404,185560.8205276343,185198.33368659552,7,7,8,4,4,4,618.4167815497494,980.9036225885212,0.3332690488171521,0.5296503500125812,40,81,success,82.16909374599345,,
