analysis,analysis_name,analysis_task_index,run_id,established_products,launch_products,decline_products,compete_products,established_demand,launch_demand,compete_demand,profit_established,profit_launch,profit_compete,probability_launch,availability,analysis11_mode,n_scenarios_sampled,seed,capacity_seed,evaluation_include_no_launch,solver_threads,time_limit_multi,time_limit_single,time_limit_long,time_limit_evaluation,multi_profit,single_profit,long_profit,n_arcs_multi,n_arcs_single,n_arcs_long,multi_machines,single_machines,n_machines_long,VMPSP,VMPLC,percent_vmpsp,percent_vmplc,planning_scenarios,evaluation_scenarios,status,runtime_seconds,error_type,error_message
11,Product-mix + seven-factor full factorial design,15,16,4,0,0,0,15,30,10,600,600,600,0.75,0.8,full,40,0,73,False,8,300.0,180.0,180.0,60.0,251819.4729044504,223055.71650663385,215650.590591376,10,6,8,4,3,4,28763.756397816527,36168.8823130744,12.895323575785186,16.771983890185005,40,81,success,28.031249898020175,,
11,Product-mix + seven-factor full factorial design,16,17,4,0,0,0,30,30,10,300,300,300,0.5,0.8,full,40,0,73,False,8,300.0,180.0,180.0,60.0,190610.2436172488,189975.3323130412,190045.05750747697,8,4,8,4,4,4,634.9113042075769,565.1861097718065,0.334207234422083,0.2973958476923665,40,81,success,11.246147006982936,,
11,Product-mix + seven-factor full factorial design,17,18,4,0,0,0,30,30,10,300,300,300,0.75,0.8,full,40,0,73,False,8,300.0,180.0,180.0,60.0,190610.2436172488,189975.3323130412,190045.05750747697,8,4,8,4,4,4,634.9113042075769,565.1861097718065,0.334207234422083,0.2973958476923665,40,81,success,11.643861372955143,,
11,Product-mix + seven-factor full factorial design,18,19,4,0,0,0,30,30,10,300,300,600,0.5,0.8,full,40,0,73,False,8,300.0,180.0,180.0,60.0,190610.2436172488,189975.3323130412,190045.05750747697,8,4,8,4,4,4,634.9113042075769,565.1861097718065,0.334207234422083,0.2973958476923665,40,81,success,11.626711537013762,,
11,Product-mix + seven-factor full factorial design,19,20,4,0,0,0,30,30,10,300,300,600,0.75,0.8,full,40,0,73,False,8,300.0,180.0,180.0,60.0,190610.2436172488,189975.3323130412,190045.05750747697,8,4,8,4,4,4,634.9113042075769,565.1861097718065,0.334207234422083,0.2973958476923665,40,81,success,11.295958611997776,,
11,Product-mix + seven-factor full factorial design,20,21,4,0,0,0,30,30,10,600,300,300,0.5,0.8,full,40,0,73,False,8,300.0,180.0,180.0,60.0,412013.8811048446,411513.047049023,411546.4388388759,8,8,8,4,4,4,500.83405582164414,467.4422659687698,0.1217055107761821,0.1135819003288174,40,81,success,9.693972578039393,,
11,Product-mix + seven-factor full factorial design,21,22,4,0,0,0,30,30,10,600,300,300,0.75,0.8,full,40,0,73,False,8,300.0,180.0,180.0,60.0,412013.8811048446,411513.047049023,411546.4388388759,8,8,8,4,4,4,500.83405582164414,467.4422659687698,0.1217055107761821,0.1135819003288174,40,81,success,9.96712506597396,,
11,Product-mix + seven-factor full factorial design,22,23,4,0,0,0,30,30,10,600,300,600,0.5,0.8,full,40,0,73,False,8,300.0,180.0,180.0,60.0,412013.8811048446,411513.047049023,411546.4388388759,8,8,8,4,4,4,500.83405582164414,467.4422659687698,0.1217055107761821,0.1135819003288174,40,81,success,10.319098173989914,,
11,Product-mix + seven-factor full factorial design,23,24,4,0,0,0,30,30,10,600,300,600,0.75,0.8,full,40,0,73,False,8,300.0,180.0,180.0,60.0,412013.8811048446,411513.047049023,411546.4388388759,8,8,8,4,4,4,500.83405582164414,467.4422659687698,0.1217055107761821,0.1135819003288174,40,81,success,9.6073889270192,,
11,Product-mix + seven-factor full factorial design,24,25,4,0,0,0,30,30,10,300,600,300,0.5,0.8,full,40,0,73,False,8,300.0,180.0,180.0,60.0,190610.2436172488,189975.3323130412,190045.05750747697,8,4,8,4,4,4,634.9113042075769,565.1861097718065,0.334207234422083,0.2973958476923665,40,81,success,12.392594290082345,,
