Analysis,Analysis Name,Analysis Task Index,Run Id,Established Products,Launch Products,Decline Products,Competition Time,Availability,Probability Launch,N Scenarios Sampled,Seed,Capacity Seed,Evaluation Include No Launch,Solver Threads,Time Limit Multi,Time Limit Single,Time Limit Long,Time Limit Evaluation,Multi Profit,Single Profit,Long Profit,N Arcs Multi,N Arcs Single,N Arcs Long,Multi Machines,Single Machines,N Machines Long,VMPSP,VMPLC,Percent Vmpsp,Percent Vmplc,Planning Scenarios,Evaluation Scenarios,Status,Runtime Seconds,Error Type,Error Message,Growth Demand Level,Growth Slope,Launch Time,Net Revenue,Decline Slope,Decline Demand Level,Number of Arcs Multi-Period,Number of Arcs Start-Period,Number of Arcs Long-Chain,Number Of Machines Multi-Period,Number Of Machines Start-Period,Number Of Machines Long-Chain,Decline Time,Unit Operating Profit
6,Decline products vs competition time,15,16,1,0,3,1,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,138902.1657672202,134592.8949746678,132111.6805130727,8,5,8,4,4,4,4309.270792552386,6790.4852541474975,3.201707484903604,5.139958274526351,40,81,success,50.32975935004652,,,45,0.5,3,300,0.5,15,8,5,8,4,4,4,1,300
6,Decline products vs competition time,16,17,1,0,3,2,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,143419.2817661694,143284.61437839226,140716.12295969776,5,5,8,4,4,4,134.66738777715364,2703.158806471649,0.0939859372629626,1.9210014812914191,40,81,success,10.760533306049185,,,45,0.5,3,300,0.5,15,5,5,8,4,4,4,2,300
6,Decline products vs competition time,17,18,1,0,3,3,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,151616.24479517154,151421.20536468114,148801.26162331662,5,5,8,4,4,4,195.0394304904039,2814.983171854925,0.1288058895190228,1.891773726341731,40,81,success,10.28049039898906,,,45,0.5,3,300,0.5,15,5,5,8,4,4,4,3,300
6,Decline products vs competition time,18,19,1,0,3,4,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,159285.0003925982,159033.80092237456,156422.42737717534,5,5,8,4,4,4,251.19947022362612,2862.5730154228513,0.1579535097361084,1.8300272303794645,40,81,success,8.463117648032494,,,45,0.5,3,300,0.5,15,5,5,8,4,4,4,4,300
6,Decline products vs competition time,19,20,1,0,3,5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,165718.50240961602,165467.3029393924,163214.62736822426,5,5,8,4,4,4,251.19947022362612,2503.8750413917587,0.1518121500509595,1.5340996586922515,40,81,success,23.160455646924675,,,45,0.5,3,300,0.5,15,5,5,8,4,4,4,5,300
6,Decline products vs competition time,20,21,0,0,4,1,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,112436.65865331783,109418.88714147272,105418.88714147249,8,4,8,4,4,4,3017.771511845116,7017.771511845349,2.757998724610784,6.657034334300543,40,81,success,57.282866361085325,,,45,0.5,3,300,0.5,15,8,4,8,4,4,4,1,300
6,Decline products vs competition time,21,22,0,0,4,2,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,121911.87928156897,121911.87928156897,117911.8792815692,4,4,8,4,4,4,0.0,3999.999999999767,0.0,3.392363877474877,40,81,success,5.985224843025208,,,45,0.5,3,300,0.5,15,4,4,8,4,4,4,2,300
6,Decline products vs competition time,22,23,0,0,4,3,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,133615.26315082874,133615.26315082874,129615.26315082834,4,4,8,4,4,4,0.0,4000.0000000004075,0.0,3.0860563044537126,40,81,success,6.839215971995145,,,45,0.5,3,300,0.5,15,4,4,8,4,4,4,3,300
6,Decline products vs competition time,23,24,0,0,4,4,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,144606.03128868123,144606.03128868123,140606.03128868167,4,4,8,4,4,4,0.0,3999.9999999995634,0.0,2.8448281793738035,40,81,success,9.70130999397952,,,45,0.5,3,300,0.5,15,4,4,8,4,4,4,4,300
6,Decline products vs competition time,24,25,0,0,4,5,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,154540.7093802154,154540.7093802154,150540.7093802161,4,4,8,4,4,4,0.0,3999.9999999993015,0.0,2.65708858186434,40,81,success,9.90552480891347,,,45,0.5,3,300,0.5,15,4,4,8,4,4,4,5,300
7,Decline products vs net revenue,0,1,4,0,0,3,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,44974.93235215096,44974.93235215096,42311.17145251532,4,4,8,4,4,4,0.0,2663.7608996356357,0.0,6.295644408297959,40,81,success,9.426757261157036,,,45,0.5,3,100,0.5,15,4,4,8,4,4,4,3,100
7,Decline products vs net revenue,1,2,4,0,0,3,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,117406.20640257132,117406.18852822384,116078.66672895256,4,4,8,4,4,4,0.017874347482575104,1327.539673618754,1.5224365688592475e-05,1.1436551702636426,40,81,success,50.614147793035954,,,45,0.5,3,200,0.5,15,4,4,8,4,4,4,3,200
7,Decline products vs net revenue,2,3,4,0,0,3,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,192193.19388778624,189837.44470429813,189846.16200539024,8,4,8,5,4,4,2355.7491834881075,2347.031882395997,1.240929673888921,1.2362809221970934,40,81,success,169.38039084500633,,,45,0.5,3,300,0.5,15,8,4,8,5,4,4,3,300
7,Decline products vs net revenue,3,4,4,0,0,3,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,274361.3807316168,264700.52950874896,263613.657281827,8,8,8,5,5,4,9660.851222867845,10747.723449789803,3.6497287107045744,4.077073836238881,40,81,success,330.40513303596526,,,45,0.5,3,400,0.5,15,8,8,8,5,5,4,3,400
7,Decline products vs net revenue,4,5,4,0,0,3,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,356529.56757544493,346705.7630809111,337381.1525582636,8,8,8,5,5,4,9823.804494533804,19148.41501718131,2.833470204601477,5.675603059620972,40,81,success,183.53240637807176,,,45,0.5,3,500,0.5,15,8,8,8,5,5,4,3,500
7,Decline products vs net revenue,5,6,4,0,0,3,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,440724.4623716533,428710.9966530735,411148.6478347024,8,8,8,6,5,4,12013.46571857977,29575.8145369509,2.802229430168185,7.193460246728472,40,81,success,185.41624751500785,,,45,0.5,3,600,0.5,15,8,8,8,6,5,4,3,600
