analysis,analysis_name,analysis_task_index,run_id,established_products,launch_products,decline_products,net_revenue,availability,probability_launch,n_scenarios_sampled,seed,capacity_seed,evaluation_include_no_launch,solver_threads,time_limit_multi,time_limit_single,time_limit_long,time_limit_evaluation,multi_profit,single_profit,long_profit,n_arcs_multi,n_arcs_single,n_arcs_long,multi_machines,single_machines,n_machines_long,VMPSP,VMPLC,percent_vmpsp,percent_vmplc,planning_scenarios,evaluation_scenarios,status,runtime_seconds,error_type,error_message
2,Launch products vs net revenue,0,1,4,0,0,100,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,44974.93235215096,44974.93235215096,42311.17145251532,4,4,8,4,4,4,0.0,2663.760899635643,0.0,6.295644408297959,40,81,success,10.045675900997594,,
2,Launch products vs net revenue,1,2,4,0,0,200,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,117406.20640257132,117406.18852822384,116078.66672895256,4,4,8,4,4,4,0.0178743474825751,1327.5396736187686,1.5224365688592475e-05,1.1436551702636426,40,81,success,53.88777886796743,,
2,Launch products vs net revenue,2,3,4,0,0,300,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,192193.19388778624,189837.44470429813,189846.16200539024,8,4,8,5,4,4,2355.7491834881075,2347.031882396026,1.240929673888921,1.2362809221970934,40,81,success,193.67499393003527,,
2,Launch products vs net revenue,3,4,4,0,0,400,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,274361.3807316168,264700.52950874896,263613.657281827,8,8,8,5,5,4,9660.851222867845,10747.723449789804,3.6497287107045744,4.077073836238881,40,81,success,306.8082460799488,,
2,Launch products vs net revenue,4,5,4,0,0,500,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,356529.5675754452,346705.7630809111,337381.1525582636,8,8,8,5,5,4,9823.804494534035,19148.41501718154,2.8334702046015443,5.67560305962104,40,81,success,192.4168491780292,,
2,Launch products vs net revenue,5,6,4,0,0,600,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,440724.4623716533,428710.9966530735,411148.6478347024,8,8,8,6,5,4,12013.46571857977,29575.81453695096,2.802229430168185,7.193460246728472,40,81,success,199.1837190099759,,
2,Launch products vs net revenue,6,7,4,0,0,700,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,532239.8143889179,510716.2302252352,484916.143111137,12,8,8,8,5,4,21523.58416368271,47323.6712777809,4.214392041974154,9.759145359476078,40,81,success,309.22771046997514,,
2,Launch products vs net revenue,7,8,4,0,0,800,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,626686.372282314,592721.4637974002,558683.6383875759,12,8,8,8,5,4,33964.90848491376,68002.73389473814,5.730332130594717,12.171957297872856,40,81,success,320.04528091300745,,
2,Launch products vs net revenue,8,9,4,0,0,900,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,721191.0469277676,674726.6973695573,632451.1336640102,12,8,8,8,5,4,46464.34955821023,88739.91326375736,6.88639559385347,14.03110984237724,40,81,success,327.56091213109903,,
2,Launch products vs net revenue,9,10,4,0,0,1000,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,815644.0622380608,756731.9309417246,706218.6289404491,12,8,8,8,5,4,58912.131296336185,109425.43329761166,7.785072743398345,15.494554917332662,40,81,success,330.03927425597794,,
2,Launch products vs net revenue,10,11,3,1,0,100,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,33744.12110261124,33744.12110261124,11991.982662782706,3,3,8,3,3,4,0.0,21752.138439828537,0.0,181.38900840256065,40,81,success,6.421122405095957,,
2,Launch products vs net revenue,11,12,3,1,0,200,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,91435.8938069643,88080.48507316393,81440.28914948733,5,3,8,4,3,4,3355.4087338003737,9995.604657476972,3.809480307713119,12.273537780704077,40,81,success,308.4929233540315,,
2,Launch products vs net revenue,12,13,3,1,0,300,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,171902.7589670305,150849.6951566435,150888.59563619192,8,8,8,5,4,4,21053.06381038701,21014.16333083858,13.956318432414031,13.926939436500495,40,81,success,363.8710751790786,,
2,Launch products vs net revenue,13,14,3,1,0,400,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,254725.14287062612,225423.92648554756,220336.90212289657,10,8,8,5,5,4,29301.216385078616,34388.24074772958,12.998272562232737,15.607118197817345,40,81,success,381.6788900700631,,
2,Launch products vs net revenue,14,15,3,1,0,500,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,342425.63941870345,304110.0093019103,289785.20860959945,10,8,8,6,5,4,38315.63011679315,52640.430809104,12.599266365729736,18.165327023306265,40,81,success,359.105754425982,,
2,Launch products vs net revenue,15,16,3,1,0,600,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,431165.39629887545,382796.092118272,359233.5150963057,10,8,8,6,5,4,48369.304180603474,71931.8812025697,12.635788394009747,20.02371109034348,40,81,success,361.7716092810733,,
2,Launch products vs net revenue,16,17,3,1,0,700,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,523978.3053518182,461482.1749346349,428681.8215830096,14,8,8,8,5,4,62496.13041718328,95296.48376880866,13.542479820815467,22.23012009627647,40,81,success,360.95189838600345,,
2,Launch products vs net revenue,17,18,3,1,0,800,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,620488.3281106594,540487.9785034918,498130.1280697151,14,9,8,8,5,4,80000.34960716753,122358.20004094431,14.80150397214629,24.563501211036943,40,81,success,359.5494213020429,,
2,Launch products vs net revenue,18,19,3,1,0,900,0.8,0.975,40,0,73,False,8,300.0,180.0,180.0,60.0,717035.0786016083,619339.0264139158,567578.4345564169,14,9,8,8,5,4,97696.05218769248,149456.64404519135,15.774244480179163,26.33233310951941,40,81,success,362.8339229489211,,
