,mean,median,q1,q3,min,max,std
Multi-period,188227.0332209201,189031.27812006406,181219.56743392098,196405.92433512863,158915.49136610705,208946.69635929854,11264.421241434193
Start-period,180502.7432441452,180923.9414160198,180181.36529064717,181666.51754139242,170748.8020995859,182409.09366676502,1872.701391017556
Long-chain,166088.86761398613,166245.8589325277,158197.29224066442,174294.42562439103,139742.35293282176,187509.1181253597,11013.318465102884
Decision-rule,178574.73514417448,178600.34219142466,172269.93701033716,185105.579932626,156202.17124585784,193001.7375767619,8070.3441236371755
Perfect Information,190382.0941262685,189780.07864984043,182405.4324347758,197154.72486490503,171333.92039105712,210226.0309220931,9235.53011700252
